Majority protein IDs,Protein names,Gene names,Correlation C2 vs C6,M score,R score,Hit with current cut-offs,Endosomal
Q9H2K8,Serine/threonine-protein kinase TAO3,TAOK3,0.431,1.017,-0.189,0.000,
Q13085;Q13085-4;Q13085-3;Q13085-2,Acetyl-CoA carboxylase 1;Biotin carboxylase,ACACA,0.430,4.445,-0.146,0.000,
Q7KZI7-15;Q7KZI7-16;Q7KZI7-14;Q7KZI7-13,Serine/threonine-protein kinase MARK2,MARK2,0.430,0.994,-0.792,0.000,
Q7L0Y3,Mitochondrial ribonuclease P protein 1,TRMT10C,0.429,0.014,-0.952,0.000,
Q9BS26,Endoplasmic reticulum resident protein 44,ERP44,0.429,0.015,-0.197,0.000,
Q9UGJ1;Q9UGJ1-2,Gamma-tubulin complex component 4,TUBGCP4,0.428,0.225,0.108,0.000,
Q00765,Receptor expression-enhancing protein 5,REEP5,0.428,0.112,-0.501,0.000,
O15155;O15155-2,BET1 homolog,BET1,0.428,1.590,-0.516,0.000,
Q9UNQ2,Probable dimethyladenosine transferase,DIMT1,0.426,0.369,-0.633,0.000,
Q96KG9;Q96KG9-3;Q96KG9-4;Q96KG9-2;Q96KG9-5;Q96KG9-6,N-terminal kinase-like protein,SCYL1,0.425,2.495,0.001,0.000,
O95433;O95433-2,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,0.424,0.852,-0.856,0.000,
P35998;P35998-2,26S protease regulatory subunit 7,PSMC2,0.423,0.340,-0.553,0.000,
O96008;O96008-2,Mitochondrial import receptor subunit TOM40 homolog,TOMM40,0.423,0.234,-0.135,0.000,
P61221,ATP-binding cassette sub-family E member 1,ABCE1,0.422,0.053,-0.231,0.000,
P49588,"Alanine--tRNA ligase, cytoplasmic",AARS,0.421,0.601,-0.387,0.000,
P26196,Probable ATP-dependent RNA helicase DDX6,DDX6,0.421,0.009,-0.026,0.000,
Q9UHB9;Q9UHB9-4;Q9UHB9-2,Signal recognition particle subunit SRP68,SRP68,0.421,0.012,-0.450,0.000,
Q6UW63,KDEL motif-containing protein 1,KDELC1,0.417,0.193,0.510,0.000,
O00161;O00161-2,Synaptosomal-associated protein 23,SNAP23,0.417,0.071,-0.287,0.000,
Q15181,Inorganic pyrophosphatase,PPA1,0.416,0.964,-0.343,0.000,
Q9Y265;Q9Y265-2,RuvB-like 1,RUVBL1,0.415,0.157,-0.604,0.000,
P55039,Developmentally-regulated GTP-binding protein 2,DRG2,0.414,3.558,-0.329,0.000,
Q9BXK5;Q9BXK5-2,Bcl-2-like protein 13,BCL2L13,0.411,0.109,-0.558,0.000,
P60174;P60174-1;P60174-4,Triosephosphate isomerase,TPI1,0.411,0.127,0.234,0.000,
P00533;P00533-4;P00533-3,Epidermal growth factor receptor,EGFR,0.410,0.297,0.521,0.000,
Q8TED1,Probable glutathione peroxidase 8,GPX8,0.410,0.014,-0.192,0.000,
P12270,Nucleoprotein TPR,TPR,0.407,4.974,-0.665,0.000,
P33176,Kinesin-1 heavy chain,KIF5B,0.407,0.124,-0.419,0.000,
Q9UNF1;Q9UNF1-2,Melanoma-associated antigen D2,MAGED2,0.407,5.205,-0.289,0.000,
Q9Y678,Coatomer subunit gamma-1,COPG1,0.405,0.004,-0.647,0.000,
Q15758;Q15758-3;Q15758-2,Neutral amino acid transporter B(0),SLC1A5,0.405,0.648,0.231,0.000,
Q96SB4;Q96SB4-4;Q96SB4-3,SRSF protein kinase 1,SRPK1,0.403,0.062,-0.780,0.000,
Q15021,Condensin complex subunit 1,NCAPD2,0.403,0.019,-0.251,0.000,
Q9P015,"39S ribosomal protein L15, mitochondrial",MRPL15,0.402,1.638,-0.704,0.000,
Q14247;Q14247-3;Q14247-2,Src substrate cortactin,CTTN,0.402,0.046,-0.816,0.000,
Q9UJW0;Q9UJW0-3;Q9UJW0-2,Dynactin subunit 4,DCTN4,0.402,0.653,-0.232,0.000,
Q71UM5,40S ribosomal protein S27-like,RPS27L,0.400,0.044,-0.711,0.000,
Q13439;Q13439-5;Q13439-3;Q13439-4,Golgin subfamily A member 4,GOLGA4,0.400,0.250,-0.299,0.000,
P25787,Proteasome subunit alpha type-2,PSMA2,0.399,1.592,-0.294,0.000,
O95816;O95816-2,BAG family molecular chaperone regulator 2,BAG2,0.399,0.005,-0.703,0.000,
Q13561;Q13561-3;Q13561-2,Dynactin subunit 2,DCTN2,0.399,0.202,-0.371,0.000,
O43264;O43264-2,Centromere/kinetochore protein zw10 homolog,ZW10,0.398,0.318,-0.004,0.000,
Q9UMR5-2;Q9UMR5;Q9UMR5-3,Lysosomal thioesterase PPT2,PPT2,0.398,1.508,0.133,0.000,
Q9UK59;Q9UK59-2,Lariat debranching enzyme,DBR1,0.398,0.202,-0.317,0.000,
O00629,Importin subunit alpha-3,KPNA4,0.397,0.742,-0.731,0.000,
O95299;O95299-2,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,0.397,0.090,-0.401,0.000,
Q9BV40,Vesicle-associated membrane protein 8,VAMP8,0.396,0.841,-0.176,0.000,
P37837,Transaldolase,TALDO1,0.395,5.050,0.269,0.000,
P11413-3;P11413;P11413-2,Glucose-6-phosphate 1-dehydrogenase,G6PD,0.395,0.073,0.206,0.000,
O15533;O15533-3;O15533-2;O15533-4,Tapasin,TAPBP,0.394,0.758,-0.207,0.000,
P00338;P00338-3;P00338-4;P00338-2;P00338-5,L-lactate dehydrogenase A chain,LDHA,0.394,0.343,0.146,0.000,
O60306,Intron-binding protein aquarius,AQR,0.393,0.124,-0.383,0.000,
P27348,14-3-3 protein theta,YWHAQ,0.393,0.141,-0.847,0.000,
O96013;O96013-4;O96013-2;O96013-3,Serine/threonine-protein kinase PAK 4,PAK4,0.392,1.348,-0.506,0.000,
Q16881;Q16881-3;Q16881-4;Q16881-5;Q16881-2;Q16881-6;Q16881-7,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,0.392,1.740,0.173,0.000,
Q96PZ0,Pseudouridylate synthase 7 homolog,PUS7,0.391,2.947,-0.228,0.000,
Q9Y230;Q9Y230-2,RuvB-like 2,RUVBL2,0.391,0.097,0.499,0.000,
P53634,Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain,CTSC,0.390,0.277,0.436,0.000,
Q9NZW5,MAGUK p55 subfamily member 6,MPP6,0.389,2.628,-0.206,0.000,
P18085,ADP-ribosylation factor 4,ARF4,0.389,0.333,-0.585,0.000,
Q9HC07;Q9HC07-2,Transmembrane protein 165,TMEM165,0.387,0.067,-0.094,0.000,
Q8N6R0;Q8N6R0-3;Q8N6R0-4;Q8N6R0-1;Q8N6R0-2,Methyltransferase-like protein 13,METTL13,0.386,1.061,-0.630,0.000,
Q15050,Ribosome biogenesis regulatory protein homolog,RRS1,0.386,1.445,0.138,0.000,
Q9Y262;Q9Y262-2,Eukaryotic translation initiation factor 3 subunit L,EIF3L,0.385,0.012,-0.252,0.000,
Q5H8A4;Q5H8A4-2;Q5H8A4-4;Q5H8A4-3;Q5H8A4-6;Q5H8A4-5,GPI ethanolamine phosphate transferase 2,PIGG,0.385,0.757,0.060,0.000,
P00966,Argininosuccinate synthase,ASS1,0.384,0.203,0.057,0.000,
Q8WWK9;Q8WWK9-6;Q8WWK9-5,Cytoskeleton-associated protein 2,CKAP2,0.384,0.942,-0.094,0.000,
P40692;P40692-3;P40692-2,DNA mismatch repair protein Mlh1,MLH1,0.384,1.336,0.169,0.000,
Q8NI27,THO complex subunit 2,THOC2,0.384,1.432,-0.362,0.000,
P43007;P43007-2,Neutral amino acid transporter A,SLC1A4,0.383,0.421,-0.102,0.000,
Q99805,Transmembrane 9 superfamily member 2,TM9SF2,0.383,0.359,-0.647,0.000,
Q10589;Q10589-2,Bone marrow stromal antigen 2,BST2,0.380,0.415,0.112,0.000,
O00767,Acyl-CoA desaturase,SCD,0.380,0.744,-0.672,0.000,
Q13435,Splicing factor 3B subunit 2,SF3B2,0.379,0.428,-0.109,0.000,
Q9NR30;Q9NR30-2,Nucleolar RNA helicase 2,DDX21,0.379,0.389,-0.170,0.000,
Q9H3P2,Negative elongation factor A,NELFA,0.378,0.583,0.011,0.000,
Q8WUM0,Nuclear pore complex protein Nup133,NUP133,0.377,0.327,0.233,0.000,
O43324;O43324-2,Eukaryotic translation elongation factor 1 epsilon-1,EEF1E1,0.377,0.248,0.115,0.000,
Q969N2;Q969N2-5;Q969N2-4;Q969N2-6;Q969N2-2;Q969N2-3,GPI transamidase component PIG-T,PIGT,0.377,0.151,0.133,0.000,
Q9NYU2;Q9NYU2-2,UDP-glucose:glycoprotein glucosyltransferase 1,UGGT1,0.376,0.002,-0.050,0.000,
P27816-4,Microtubule-associated protein 4,MAP4,0.376,0.469,0.072,0.000,
Q9HDC9;Q9HDC9-2,Adipocyte plasma membrane-associated protein,APMAP,0.375,0.133,0.144,0.000,
Q9BZ29-4;Q9BZ29;Q9BZ29-3;Q9BZ29-5;Q9BZ29-6,Dedicator of cytokinesis protein 9,DOCK9,0.373,6.324,-0.689,0.000,
Q9BPW8,Protein NipSnap homolog 1,NIPSNAP1,0.370,0.019,-0.328,0.000,
Q70E73;Q70E73-5;Q70E73-2;Q70E73-8;Q70E73-7;Q70E73-4;Q70E73-3;Q70E73-9;Q70E73-6,Ras-associated and pleckstrin homology domains-containing protein 1,RAPH1,0.370,0.056,-0.176,0.000,
O43175,D-3-phosphoglycerate dehydrogenase,PHGDH,0.370,0.709,0.466,0.000,
Q9UBQ5;Q9UBQ5-2,Eukaryotic translation initiation factor 3 subunit K,EIF3K,0.369,0.002,0.101,0.000,
Q9Y2R9,"28S ribosomal protein S7, mitochondrial",MRPS7,0.369,0.071,-0.543,0.000,
P31943,"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed",HNRNPH1,0.368,0.099,-0.393,0.000,
P26447,Protein S100-A4,S100A4,0.368,1.565,-0.354,0.000,
P50570;P50570-2;P50570-5,Dynamin-2,DNM2,0.367,0.093,-0.805,0.000,
P52565,Rho GDP-dissociation inhibitor 1,ARHGDIA,0.366,3.114,0.026,0.000,
O75787;O75787-2,Renin receptor,ATP6AP2,0.366,2.734,-0.323,0.000,
Q07864,DNA polymerase epsilon catalytic subunit A,POLE,0.365,1.936,-0.407,0.000,
Q9H444,Charged multivesicular body protein 4b,CHMP4B,0.365,7.435,0.294,0.000,
Q53H82,Beta-lactamase-like protein 2,LACTB2,0.362,0.198,-0.648,0.000,
O75179;O75179-2;O75179-7;O75179-6;O75179-4,Ankyrin repeat domain-containing protein 17,ANKRD17,0.361,0.019,-0.122,0.000,
P23381;P23381-2,"Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS",WARS,0.361,0.353,-0.138,0.000,
Q9NYV4;Q9NYV4-2;Q9NYV4-3,Cyclin-dependent kinase 12,CDK12,0.360,15.862,-0.273,0.000,
P11117,Lysosomal acid phosphatase,ACP2,0.360,1.029,-0.447,0.000,
Q9Y4P3,Transducin beta-like protein 2,TBL2,0.357,0.191,-0.521,0.000,
Q6NUM9;Q6NUM9-2,"All-trans-retinol 13,14-reductase",RETSAT,0.357,0.015,-0.460,0.000,
Q9Y3A5,Ribosome maturation protein SBDS,SBDS,0.357,0.011,-0.223,0.000,
P61011;P61011-2,Signal recognition particle 54 kDa protein,SRP54,0.354,0.056,0.312,0.000,
Q16629;Q16629-3;Q16629-2;Q16629-4,Serine/arginine-rich splicing factor 7,SRSF7,0.354,0.132,-0.586,0.000,
Q9NZN4;Q9NZN4-2,EH domain-containing protein 2,EHD2,0.354,0.277,-0.045,0.000,
P38919,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",EIF4A3,0.352,0.180,-0.119,0.000,
Q13144,Translation initiation factor eIF-2B subunit epsilon,EIF2B5,0.350,0.058,-0.632,0.000,
Q03135,Caveolin-1,CAV1,0.350,0.223,0.029,0.000,
P78347;P78347-2;P78347-4;P78347-3,General transcription factor II-I,GTF2I,0.349,0.701,-0.890,0.000,
Q9H0A0;Q9H0A0-2,N-acetyltransferase 10,NAT10,0.348,0.240,-0.575,0.000,
Q15286;Q15286-2,Ras-related protein Rab-35,RAB35,0.347,0.179,-0.029,0.000,
A5YKK6;A5YKK6-4,CCR4-NOT transcription complex subunit 1,CNOT1,0.347,0.019,-0.089,0.000,
Q8IVT2,Mitotic interactor and substrate of PLK1,MISP,0.347,0.344,0.384,0.000,
Q9BR76,Coronin-1B,CORO1B,0.346,0.062,-0.425,0.000,
Q14126,Desmoglein-2,DSG2,0.344,0.010,0.048,0.000,
Q9BTZ2;Q9BTZ2-8;Q9BTZ2-4;Q9BTZ2-5;Q9BTZ2-2,Dehydrogenase/reductase SDR family member 4,DHRS4,0.343,0.078,-0.872,0.000,
O43491;O43491-3;O43491-2,Band 4.1-like protein 2,EPB41L2,0.342,0.167,-0.862,0.000,
Q2M389;Q2M389-2,WASH complex subunit 7,KIAA1033,0.342,2.969,-0.010,0.000,
P51808,Dynein light chain Tctex-type 3,DYNLT3,0.342,0.014,0.228,0.000,
P09651;P09651-2;P09651-3;Q32P51,"Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed;Heterogeneous nuclear ribonucleoprotein A1-like 2",HNRNPA1;HNRNPA1L2,0.341,0.013,-0.606,0.000,
O15228;O15228-2,Dihydroxyacetone phosphate acyltransferase,GNPAT,0.341,7.231,-0.438,0.000,
Q13619;Q13619-2,Cullin-4A,CUL4A,0.340,0.113,-0.114,0.000,
Q7Z460-4;Q7Z460-3;Q7Z460-2;Q7Z460-5,CLIP-associating protein 1,CLASP1,0.340,0.181,-0.786,0.000,
Q99747;Q99747-2,Gamma-soluble NSF attachment protein,NAPG,0.339,1.347,0.002,0.000,
P46781,40S ribosomal protein S9,RPS9,0.336,0.011,-0.544,0.000,
P06733;P06733-2,Alpha-enolase,ENO1,0.335,0.492,0.290,0.000,
Q5T9L3;Q5T9L3-3,Protein wntless homolog,WLS,0.333,0.003,0.544,0.000,
Q13636,Ras-related protein Rab-31,RAB31,0.333,0.190,-0.527,0.000,
Q9BY77;Q9BY77-2,Polymerase delta-interacting protein 3,POLDIP3,0.332,0.310,-0.254,0.000,
P62888,60S ribosomal protein L30,RPL30,0.332,0.020,-0.598,0.000,
P43246;P43246-2,DNA mismatch repair protein Msh2,MSH2,0.331,0.156,0.020,0.000,
Q4J6C6;Q4J6C6-4;Q4J6C6-2;Q4J6C6-3,Prolyl endopeptidase-like,PREPL,0.329,0.418,-0.650,0.000,
O75531,"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed",BANF1,0.328,0.092,-0.447,0.000,
O75381;O75381-2,Peroxisomal membrane protein PEX14,PEX14,0.327,0.070,-0.062,0.000,
Q14573,"Inositol 1,4,5-trisphosphate receptor type 3",ITPR3,0.325,0.013,-0.726,0.000,
Q8TCJ2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,STT3B,0.323,0.040,-0.142,0.000,
Q9BYT8,"Neurolysin, mitochondrial",NLN,0.322,0.012,-0.806,0.000,
Q9UMS4,Pre-mRNA-processing factor 19,PRPF19,0.321,0.016,-0.310,0.000,
Q9UBM7,7-dehydrocholesterol reductase,DHCR7,0.320,0.116,0.363,0.000,
P29401;P29401-2,Transketolase,TKT,0.319,0.591,-0.230,0.000,
P04083,Annexin A1,ANXA1,0.317,0.349,0.329,0.000,
Q15067,Peroxisomal acyl-coenzyme A oxidase 1,ACOX1,0.317,0.087,-0.391,0.000,
Q01970;Q01970-2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",PLCB3,0.317,0.706,-0.797,0.000,
O00429;O00429-3;O00429-5;O00429-6;O00429-7,Dynamin-1-like protein,DNM1L,0.316,0.477,-0.543,0.000,
P57772;P57772-2,Selenocysteine-specific elongation factor,EEFSEC,0.315,0.170,-0.265,0.000,
O14579;O14579-2;O14579-3,Coatomer subunit epsilon,COPE,0.313,0.030,-0.361,0.000,
Q9H4M9,EH domain-containing protein 1,EHD1,0.312,0.086,0.293,0.000,
Q9H6S0,Probable ATP-dependent RNA helicase YTHDC2,YTHDC2,0.312,0.066,-0.776,0.000,
A1X283,SH3 and PX domain-containing protein 2B,SH3PXD2B,0.309,0.074,0.095,0.000,
P20339;P20339-2,Ras-related protein Rab-5A,RAB5A,0.309,1.222,0.099,0.000,
Q6ZRP7,Sulfhydryl oxidase 2,QSOX2,0.308,0.131,-0.377,0.000,
Q10471,Polypeptide N-acetylgalactosaminyltransferase 2;Polypeptide N-acetylgalactosaminyltransferase 2 soluble form,GALNT2,0.307,0.197,-0.317,0.000,
P09429;B2RPK0,High mobility group protein B1;Putative high mobility group protein B1-like 1,HMGB1;HMGB1P1,0.305,0.170,-0.176,0.000,
Q641Q2;Q641Q2-2,WASH complex subunit FAM21A,FAM21A,0.303,5.904,-0.418,0.000,
O15439;O15439-2;O15439-3;O15439-4,Multidrug resistance-associated protein 4,ABCC4,0.301,0.014,0.628,0.000,
Q9Y2W2,WW domain-binding protein 11,WBP11,0.300,0.016,0.154,0.000,
P35658;P35658-3;P35658-2;P35658-4;P35658-5,Nuclear pore complex protein Nup214,NUP214,0.299,1.546,0.428,0.000,
P00441,Superoxide dismutase [Cu-Zn],SOD1,0.298,0.624,-0.291,0.000,
O96000;O96000-2,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,NDUFB10,0.296,0.020,0.300,0.000,
Q3ZCQ8-2;Q3ZCQ8;Q3ZCQ8-3,Mitochondrial import inner membrane translocase subunit TIM50,TIMM50,0.295,0.045,-0.617,0.000,
Q8TAT6;Q8TAT6-2,Nuclear protein localization protein 4 homolog,NPLOC4,0.294,0.143,-0.451,0.000,
P83731,60S ribosomal protein L24,RPL24,0.294,0.008,-0.328,0.000,
O43156,TELO2-interacting protein 1 homolog,TTI1,0.292,1.252,-0.837,0.000,
P42785;P42785-2,Lysosomal Pro-X carboxypeptidase,PRCP,0.291,0.298,0.205,0.000,
Q6NZI2;Q6NZI2-2,Polymerase I and transcript release factor,PTRF,0.291,0.280,-0.175,0.000,
P26639;P26639-2,"Threonine--tRNA ligase, cytoplasmic",TARS,0.290,0.153,-0.531,0.000,
P63167,"Dynein light chain 1, cytoplasmic",DYNLL1,0.288,1.098,-0.547,0.000,
Q9P2K8;Q9P2K8-2,Eukaryotic translation initiation factor 2-alpha kinase 4,EIF2AK4,0.286,1.110,-0.092,0.000,
Q9Y2A7;Q9Y2A7-2,Nck-associated protein 1,NCKAP1,0.285,0.043,-0.078,0.000,
O15294;O15294-3;O15294-4,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,OGT,0.285,0.474,-0.244,0.000,
Q68EM7-5;Q68EM7;Q68EM7-6;Q68EM7-2,Rho GTPase-activating protein 17,ARHGAP17,0.283,0.021,-0.280,0.000,
Q9Y2W1,Thyroid hormone receptor-associated protein 3,THRAP3,0.283,2.422,-0.411,0.000,
Q8NBN3;Q8NBN3-3,Transmembrane protein 87A,TMEM87A,0.282,0.558,0.418,0.000,
Q5T2T1;Q5T2T1-2,MAGUK p55 subfamily member 7,MPP7,0.281,1.336,-0.776,0.000,
Q96I24;Q96I24-2,Far upstream element-binding protein 3,FUBP3,0.278,0.014,-0.551,0.000,
P00558;P00558-2,Phosphoglycerate kinase 1,PGK1,0.276,0.369,-0.608,0.000,
P53999,Activated RNA polymerase II transcriptional coactivator p15,SUB1,0.275,0.316,-0.884,0.000,
P52209;P52209-2,"6-phosphogluconate dehydrogenase, decarboxylating",PGD,0.274,1.132,-0.662,0.000,
Q29RF7,Sister chromatid cohesion protein PDS5 homolog A,PDS5A,0.271,3.246,-0.123,0.000,
O75044;P0DJJ0,SLIT-ROBO Rho GTPase-activating protein 2;SLIT-ROBO Rho GTPase-activating protein 2C,SRGAP2;SRGAP2C,0.270,1.134,-0.445,0.000,
Q9Y6C9,Mitochondrial carrier homolog 2,MTCH2,0.267,0.001,-0.996,0.000,
Q9BUP3-3,Oxidoreductase HTATIP2,HTATIP2,0.266,0.721,0.493,0.000,
Q14141;Q14141-2;Q14141-4;Q14141-3,Septin-6,38961,0.265,1.038,0.409,0.000,
Q86XL3,Ankyrin repeat and LEM domain-containing protein 2,ANKLE2,0.265,0.137,-0.005,0.000,
Q5T1M5;Q5T1M5-2,FK506-binding protein 15,FKBP15,0.265,1.460,-0.379,0.000,
Q8WVV9;Q8WVV9-4;Q8WVV9-5,Heterogeneous nuclear ribonucleoprotein L-like,HNRNPLL,0.264,0.132,-0.474,0.000,
Q9BPX3,Condensin complex subunit 3,NCAPG,0.262,0.044,-0.798,0.000,
O00151,PDZ and LIM domain protein 1,PDLIM1,0.261,0.176,-0.413,0.000,
P30260;P30260-2,Cell division cycle protein 27 homolog,CDC27,0.261,1.272,-0.574,0.000,
P12532;P12532-2,"Creatine kinase U-type, mitochondrial",CKMT1A,0.260,0.272,-0.487,0.000,
Q16563-2;Q16563,Synaptophysin-like protein 1,SYPL1,0.260,0.694,-0.121,0.000,
Q16891-2,MICOS complex subunit MIC60,IMMT,0.257,0.002,-0.624,0.000,
Q7Z2K6,Endoplasmic reticulum metallopeptidase 1,ERMP1,0.255,0.076,-0.430,0.000,
Q96B97-2,SH3 domain-containing kinase-binding protein 1,SH3KBP1,0.255,0.034,-0.320,0.000,
O00754;O00754-2,Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide,MAN2B1,0.253,1.145,0.140,0.000,
Q8IY81,pre-rRNA processing protein FTSJ3,FTSJ3,0.252,0.346,-0.412,0.000,
Q13425,Beta-2-syntrophin,SNTB2,0.251,0.151,-0.605,0.000,
Q92890;Q92890-1;Q92890-3,Ubiquitin fusion degradation protein 1 homolog,UFD1L,0.251,0.014,0.080,0.000,
P31483;P31483-3,Nucleolysin TIA-1 isoform p40,TIA1,0.250,0.125,-0.428,0.000,
O43776,"Asparagine--tRNA ligase, cytoplasmic",NARS,0.248,4.969,-0.680,0.000,
P15121,Aldose reductase,AKR1B1,0.248,0.024,-0.300,0.000,
P31949,"Protein S100-A11;Protein S100-A11, N-terminally processed",S100A11,0.248,1.351,0.176,0.000,
Q16850;Q16850-2,Lanosterol 14-alpha demethylase,CYP51A1,0.248,0.003,-0.345,0.000,
Q99460;Q99460-2,26S proteasome non-ATPase regulatory subunit 1,PSMD1,0.247,0.223,-0.330,0.000,
P48059;P48059-4;P48059-5;P48059-2;P48059-3,LIM and senescent cell antigen-like-containing domain protein 1,LIMS1,0.245,0.128,-0.326,0.000,
P62318;P62318-2,Small nuclear ribonucleoprotein Sm D3,SNRPD3,0.244,0.043,-0.662,0.000,
Q13555-6;Q13555;Q13555-5;Q13555-2;Q13555-4;Q13555-8,Calcium/calmodulin-dependent protein kinase type II subunit gamma,CAMK2G,0.242,0.112,-0.120,0.000,
O75607,Nucleoplasmin-3,NPM3,0.242,0.202,-0.403,0.000,
P51610;P51610-4;P51610-2,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6,HCFC1,0.241,0.116,-0.482,0.000,
Q14978-3,Nucleolar and coiled-body phosphoprotein 1,NOLC1,0.241,1.319,-0.653,0.000,
P25788;P25788-2,Proteasome subunit alpha type-3,PSMA3,0.238,0.550,0.128,0.000,
P62857,40S ribosomal protein S28,RPS28,0.238,0.033,-0.316,0.000,
Q92615,La-related protein 4B,LARP4B,0.238,0.020,-0.509,0.000,
P41252,"Isoleucine--tRNA ligase, cytoplasmic",IARS,0.237,0.011,-0.206,0.000,
O75027;O75027-2;O75027-3,"ATP-binding cassette sub-family B member 7, mitochondrial",ABCB7,0.236,0.004,-0.967,0.000,
Q99567,Nuclear pore complex protein Nup88,NUP88,0.235,0.146,-0.638,0.000,
Q8N684;Q8N684-2;Q8N684-3,Cleavage and polyadenylation specificity factor subunit 7,CPSF7,0.234,0.286,-0.606,0.000,
Q16531,DNA damage-binding protein 1,DDB1,0.231,0.129,0.048,0.000,
Q9Y376,Calcium-binding protein 39,CAB39,0.229,1.190,-0.319,0.000,
Q5TAX3;Q5TAX3-2,Terminal uridylyltransferase 4,ZCCHC11,0.228,5.849,-0.725,0.000,
P35221;P35221-2;P35221-3,Catenin alpha-1,CTNNA1,0.226,0.008,0.413,0.000,
Q96PK6,RNA-binding protein 14,RBM14,0.226,1.325,-0.326,0.000,
P11233,Ras-related protein Ral-A,RALA,0.225,0.110,-0.346,0.000,
Q9UHD1;Q9UHD1-2,Cysteine and histidine-rich domain-containing protein 1,CHORDC1,0.222,0.931,-0.282,0.000,
P49753;P49753-2,"Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT2,0.222,0.024,-0.768,0.000,
Q99497,Protein deglycase DJ-1,PARK7,0.222,0.199,-0.484,0.000,
P78362;P78362-2,SRSF protein kinase 2;SRSF protein kinase 2 N-terminal;SRSF protein kinase 2 C-terminal,SRPK2,0.220,0.068,-0.619,0.000,
O95486,Protein transport protein Sec24A,SEC24A,0.220,9.393,-0.638,0.000,
Q06210;Q06210-2,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,GFPT1,0.219,16.333,-0.397,0.000,
Q08257;Q08257-3;Q08257-2,Quinone oxidoreductase,CRYZ,0.213,0.263,-0.742,0.000,
Q9NTJ5;Q9NTJ5-2,Phosphatidylinositide phosphatase SAC1,SACM1L,0.212,0.001,-0.801,0.000,
P27816;P27816-6;P27816-2,Microtubule-associated protein 4,MAP4,0.210,0.001,-0.298,0.000,
Q9UH65,Switch-associated protein 70,SWAP70,0.209,1.345,0.574,0.000,
Q00839,Heterogeneous nuclear ribonucleoprotein U,HNRNPU,0.209,0.004,-0.194,0.000,
P46940,Ras GTPase-activating-like protein IQGAP1,IQGAP1,0.209,0.022,-0.313,0.000,
P01111,GTPase NRas,NRAS,0.208,0.165,-0.366,0.000,
P51649;P51649-2,"Succinate-semialdehyde dehydrogenase, mitochondrial",ALDH5A1,0.206,0.193,0.093,0.000,
P49773,Histidine triad nucleotide-binding protein 1,HINT1,0.206,1.743,-0.204,0.000,
Q96TA2;Q96TA2-3;Q96TA2-2,ATP-dependent zinc metalloprotease YME1L1,YME1L1,0.205,0.008,-0.446,0.000,
P61201;P61201-2,COP9 signalosome complex subunit 2,COPS2,0.205,0.978,-0.230,0.000,
Q07021,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1QBP,0.204,0.092,-0.812,0.000,
P04792,Heat shock protein beta-1,HSPB1,0.203,1.302,0.052,0.000,
P46776,60S ribosomal protein L27a,RPL27A,0.202,0.047,-0.246,0.000,
Q9NUL3;Q9NUL3-2;Q9NUL3-8;Q9NUL3-3;Q9NUL3-6;Q9NUL3-4,Double-stranded RNA-binding protein Staufen homolog 2,STAU2,0.200,0.407,-0.149,0.000,
Q8NB90;Q8NB90-2;Q8NB90-3,Spermatogenesis-associated protein 5,SPATA5,0.196,1.302,-0.229,0.000,
O75131,Copine-3,CPNE3,0.193,8.442,0.073,0.000,
Q9NX57,Ras-related protein Rab-20,RAB20,0.186,1.407,0.110,0.000,
P50502;Q8NFI4,Hsc70-interacting protein;Putative protein FAM10A5,ST13;ST13P5,0.186,0.328,-0.058,0.000,
