UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q80V86,Integrator complex subunit 8 GN=Ints8 PE=2 SV=1 - [INT8_MOUSE],3,3,5.3,0.166,0.007,0.032,0.016,0.010,0.037,0.050,0.100,0.319,0.263
Q80VC9-2,Isoform 2 of Calmodulin-regulated spectrin-associated protein 3 GN=Camsap3 - [CAMP3_MOUSE],3,3,2.8,0.156,0.084,0.108,0.107,0.081,0.099,0.065,0.085,0.084,0.132
Q80VP0,Tectonin beta-propeller repeat-containing protein 1 GN=Tecpr1 PE=2 SV=1 - [TCPR1_MOUSE],3,3,2.5,0.039,0.131,0.146,0.175,0.147,0.183,0.085,0.052,0.013,0.027
Q80VP1,Epsin-1 GN=Epn1 PE=1 SV=3 - [EPN1_MOUSE],3,3,7.5,0.032,0.102,0.135,0.167,0.144,0.227,0.091,0.039,0.040,0.023
Q80VY9,Putative ATP-dependent RNA helicase DHX33 GN=Dhx33 PE=1 SV=1 - [DHX33_MOUSE],3,3,5.2,0.105,0.021,0.025,0.027,0.045,0.045,0.046,0.043,0.351,0.293
Q80WT5-2,Isoform 2 of Aftiphilin GN=Aftph - [AFTIN_MOUSE],3,3,6.1,0.065,0.029,0.069,0.139,0.184,0.334,0.077,0.035,0.011,0.057
Q80XI3-3,Isoform 3 of Eukaryotic translation initiation factor 4 gamma 3 GN=Eif4g3 - [IF4G3_MOUSE],3,3,2.5,0.095,0.047,0.031,0.042,0.061,0.052,0.060,0.036,0.051,0.525
Q80XI4,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta GN=Pip4k2b PE=1 SV=1 - [PI42B_MOUSE],3,3,10.1,0.100,0.185,0.134,0.117,0.138,0.113,0.080,0.043,0.050,0.040
Q80Y55,BSD domain-containing protein 1 GN=Bsdc1 PE=2 SV=1 - [BSDC1_MOUSE],3,3,10.8,0.298,0.118,0.106,0.100,0.113,0.099,0.090,0.033,0.018,0.024
Q80YS6,Actin filament-associated protein 1 GN=Afap1 PE=1 SV=1 - [AFAP1_MOUSE],3,3,6.0,0.055,0.116,0.095,0.095,0.103,0.133,0.100,0.079,0.154,0.070
Q80YV4-2,Isoform 2 of Pantothenate kinase 4 GN=Pank4 - [PANK4_MOUSE],3,3,4.7,0.249,0.091,0.126,0.103,0.098,0.072,0.039,0.023,0.134,0.065
Q80Z25,Oral-facial-digital syndrome 1 protein homolog GN=Ofd1 PE=1 SV=1 - [OFD1_MOUSE],3,3,2.6,0.090,0.054,0.060,0.063,0.062,0.098,0.132,0.181,0.092,0.169
Q80ZJ1,Ras-related protein Rap-2a GN=Rap2a PE=1 SV=2 - [RAP2A_MOUSE],3,3,18.0,0.008,0.175,0.154,0.208,0.155,0.171,0.085,0.018,0.015,0.010
Q810J8,Zinc finger FYVE domain-containing protein 1 GN=Zfyve1 PE=2 SV=2 - [ZFYV1_MOUSE],3,3,6.3,0.069,0.080,0.083,0.092,0.079,0.116,0.112,0.152,0.031,0.186
Q811Q9,Choline-phosphate cytidylyltransferase B GN=Pcyt1b PE=1 SV=2 - [PCY1B_MOUSE],3,3,10.0,0.428,0.078,0.121,0.095,0.089,0.084,0.040,0.026,0.012,0.026
Q8BFT2,HAUS augmin-like complex subunit 4 GN=Haus4 PE=2 SV=1 - [HAUS4_MOUSE],3,3,9.4,0.116,0.072,0.060,0.058,0.079,0.074,0.110,0.074,0.163,0.195
Q8BFU3,RING finger protein 214 GN=Rnf214 PE=2 SV=1 - [RN214_MOUSE],3,3,4.6,0.191,0.067,0.082,0.080,0.078,0.078,0.063,0.074,0.078,0.211
Q8BFX3,BTB/POZ domain-containing protein KCTD3 GN=Kctd3 PE=2 SV=1 - [KCTD3_MOUSE],3,3,3.3,0.071,0.153,0.130,0.094,0.125,0.121,0.115,0.036,0.069,0.087
Q8BGV8,Mitochondrial dynamic protein MID51 GN=Smcr7l PE=1 SV=1 - [MID51_MOUSE],3,3,6.0,0.095,0.046,0.059,0.048,0.077,0.090,0.260,0.142,0.034,0.150
Q8BH55,Threonine synthase-like 1 GN=Thnsl1 PE=2 SV=1 - [THNS1_MOUSE],3,3,6.6,0.000,0.014,0.018,0.020,0.021,0.116,0.330,0.343,0.028,0.111
Q8BHJ9,Pre-mRNA-splicing factor SLU7 GN=Slu7 PE=1 SV=1 - [SLU7_MOUSE],3,3,8.7,0.120,0.018,0.033,0.027,0.027,0.045,0.046,0.067,0.269,0.348
Q8BKH7-2,Isoform 2 of Target of rapamycin complex 2 subunit MAPKAP1 GN=Mapkap1 - [SIN1_MOUSE],3,3,6.8,0.109,0.133,0.132,0.142,0.108,0.115,0.063,0.041,0.068,0.090
Q8BKI2,Trinucleotide repeat-containing gene 6B protein GN=Tnrc6b PE=2 SV=2 - [TNR6B_MOUSE],3,3,2.3,0.123,0.042,0.061,0.093,0.093,0.133,0.050,0.065,0.083,0.256
Q8BKY8,"mTERF domain-containing protein 3, mitochondrial GN=Mterfd3 PE=1 SV=1 - [MTER3_MOUSE]",3,3,10.1,0.006,0.011,0.020,0.021,0.029,0.116,0.319,0.354,0.000,0.124
Q8BL80-2,Isoform 2 of Rho GTPase-activating protein 22 GN=Arhgap22 - [RHG22_MOUSE],3,3,7.7,0.006,0.140,0.146,0.129,0.177,0.212,0.108,0.040,0.032,0.011
Q8BM72,Heat shock 70 kDa protein 13 GN=Hspa13 PE=2 SV=1 - [HSP13_MOUSE],3,3,13.0,0.015,0.042,0.085,0.127,0.193,0.257,0.152,0.105,0.011,0.014
Q8BMA3,Connector enhancer of kinase suppressor of ras 3 GN=Cnksr3 PE=1 SV=1 - [CNKR3_MOUSE],3,3,7.7,0.000,0.164,0.124,0.182,0.220,0.161,0.100,0.030,0.000,0.019
Q8BNV1,tRNA (uracil-5-)-methyltransferase homolog A GN=Trmt2a PE=2 SV=1 - [TRM2A_MOUSE],3,3,5.1,0.406,0.032,0.055,0.042,0.060,0.055,0.045,0.052,0.111,0.141
Q8BP56,Acid trehalase-like protein 1 GN=Athl1 PE=2 SV=1 - [ATHL1_MOUSE],3,3,8.6,0.125,0.078,0.146,0.183,0.206,0.151,0.065,0.016,0.011,0.018
Q8BR90,UPF0600 protein C5orf51 homolog PE=2 SV=1 - [CE051_MOUSE],3,3,7.8,0.474,0.078,0.113,0.101,0.079,0.054,0.036,0.017,0.020,0.028
Q8BSF4,Phosphatidylserine decarboxylase proenzyme GN=Pisd PE=2 SV=1 - [PISD_MOUSE],3,3,11.3,0.009,0.014,0.024,0.019,0.034,0.075,0.392,0.217,0.082,0.133
Q8BSZ2,AP-3 complex subunit sigma-2 GN=Ap3s2 PE=1 SV=1 - [AP3S2_MOUSE],3,3,24.4,0.135,0.088,0.110,0.139,0.143,0.128,0.057,0.035,0.072,0.092
Q8BTH8,Casein kinase I isoform gamma-1 GN=Csnk1g1 PE=1 SV=2 - [KC1G1_MOUSE],3,3,5.9,0.008,0.199,0.133,0.140,0.216,0.118,0.114,0.027,0.032,0.014
Q8BTH8;Q8BVP5;Q8C4X2,Casein kinase I isoform gamma-1 GN=Csnk1g1 PE=1 SV=2 - [KC1G1_MOUSE]|Casein kinase I isoform gamma-2 GN=Csnk1g2 PE=1 SV=1 - [KC1G2_MOUSE]|Casein kinase I isoform gamma-3 GN=Csnk1g3 PE=1 SV=2 - [KC1G3_MOUSE],3,3,5.9,0.000,0.223,0.137,0.190,0.252,0.122,0.075,0.000,0.000,0.000
Q8BTT6,Digestive organ expansion factor homolog GN=Diexf PE=2 SV=2 - [DIEXF_MOUSE],3,3,6.7,0.186,0.040,0.049,0.034,0.040,0.041,0.046,0.034,0.320,0.210
Q8BTZ7,Mannose-1-phosphate guanyltransferase beta GN=Gmppb PE=2 SV=1 - [GMPPB_MOUSE],3,3,10.0,0.307,0.107,0.113,0.078,0.107,0.061,0.055,0.044,0.059,0.069
Q8BU33,Acetolactate synthase-like protein GN=Ilvbl PE=2 SV=1 - [ILVBL_MOUSE],3,3,14.4,0.007,0.039,0.129,0.136,0.192,0.234,0.136,0.099,0.010,0.017
Q8BV13,COP9 signalosome complex subunit 7b GN=Cops7b PE=1 SV=1 - [CSN7B_MOUSE],3,3,16.7,0.411,0.080,0.131,0.080,0.074,0.083,0.027,0.034,0.039,0.041
Q8BW41-2,Isoform 2 of Glycosyltransferase-like domain-containing protein 2 GN=Gtdc2 - [GTDC2_MOUSE],3,3,8.4,0.028,0.041,0.088,0.159,0.167,0.239,0.124,0.101,0.028,0.024
Q8BYI8,Uncharacterized protein KIAA1467 GN=Kiaa1467 PE=2 SV=1 - [K1467_MOUSE],3,3,6.3,0.000,0.039,0.127,0.233,0.246,0.256,0.056,0.038,0.000,0.004
Q8BYK6-3,Isoform 3 of YTH domain family protein 3 GN=Ythdf3 - [YTHD3_MOUSE],3,3,7.2,0.201,0.048,0.077,0.054,0.050,0.103,0.050,0.038,0.115,0.264
Q8BZ60,Stonin-2 GN=Ston2 PE=2 SV=1 - [STON2_MOUSE],3,3,3.6,0.067,0.131,0.114,0.119,0.136,0.130,0.148,0.046,0.025,0.084
Q8BZM1,Glomulin GN=Glmn PE=2 SV=1 - [GLMN_MOUSE],3,3,5.5,0.453,0.091,0.127,0.105,0.086,0.061,0.027,0.018,0.022,0.010
Q8BZR9,Uncharacterized protein C17orf85 homolog PE=1 SV=1 - [CQ085_MOUSE],3,3,4.2,0.173,0.053,0.026,0.021,0.026,0.026,0.040,0.033,0.357,0.246
Q8C0R0-2,Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 37 GN=Usp37 - [UBP37_MOUSE],3,3,4.0,0.285,0.027,0.081,0.056,0.035,0.098,0.060,0.072,0.112,0.173
Q8C190-2,Isoform 2 of VPS9 domain-containing protein 1 GN=Vps9d1 - [VP9D1_MOUSE],3,3,4.5,0.022,0.099,0.139,0.203,0.190,0.169,0.065,0.045,0.037,0.029
Q8C1D8,Protein IWS1 homolog GN=Iws1 PE=1 SV=1 - [IWS1_MOUSE],3,3,5.5,0.220,0.004,0.022,0.009,0.021,0.053,0.106,0.128,0.330,0.106
Q8C263,Spindle and kinetochore-associated protein 3 GN=Ska3 PE=1 SV=1 - [SKA3_MOUSE],3,3,9.0,0.159,0.071,0.064,0.045,0.075,0.048,0.094,0.060,0.252,0.132
Q8C7D2-2,Isoform 2 of Protein cereblon GN=Crbn - [CRBN_MOUSE],3,3,6.3,0.456,0.083,0.125,0.097,0.084,0.059,0.031,0.018,0.021,0.027
Q8CBE3,WD repeat-containing protein 37 GN=Wdr37 PE=2 SV=1 - [WDR37_MOUSE],3,3,8.7,0.043,0.066,0.071,0.069,0.089,0.106,0.125,0.211,0.126,0.094
Q8CCM6-2,Isoform 2 of Mitochondrial import inner membrane translocase subunit Tim21 GN=Timm21 - [TIM21_MOUSE],3,3,16.4,0.021,0.023,0.015,0.022,0.055,0.097,0.328,0.222,0.093,0.124
Q8CD26,Solute carrier family 35 member E1 GN=Slc35e1 PE=1 SV=2 - [S35E1_MOUSE],3,3,7.1,0.003,0.039,0.068,0.123,0.184,0.237,0.176,0.092,0.051,0.029
Q8CHC4,Synaptojanin-1 GN=Synj1 PE=1 SV=3 - [SYNJ1_MOUSE],3,3,2.5,0.120,0.117,0.101,0.089,0.098,0.150,0.091,0.062,0.053,0.120
Q8CHC8,ADNP homeobox protein 2 GN=Adnp2 PE=2 SV=2 - [ADNP2_MOUSE],3,3,3.9,0.038,0.013,0.031,0.042,0.048,0.029,0.116,0.153,0.370,0.161
Q8CHH5,GLTSCR1-like protein GN=Gltscr1l PE=2 SV=2 - [GSC1L_MOUSE],3,3,4.3,0.174,0.015,0.036,0.020,0.023,0.043,0.049,0.120,0.369,0.151
Q8CHT3,Integrator complex subunit 5 GN=Ints5 PE=2 SV=1 - [INT5_MOUSE],3,3,4.8,0.095,0.060,0.027,0.027,0.051,0.059,0.085,0.064,0.292,0.239
Q8CI32,BAG family molecular chaperone regulator 5 GN=Bag5 PE=1 SV=1 - [BAG5_MOUSE],3,3,8.3,0.246,0.061,0.097,0.114,0.096,0.158,0.065,0.046,0.073,0.043
Q8CI94,"Glycogen phosphorylase, brain form GN=Pygb PE=1 SV=3 - [PYGB_MOUSE]",3,3,3.7,0.519,0.087,0.111,0.094,0.068,0.052,0.023,0.009,0.013,0.025
Q8CIF6,SID1 transmembrane family member 2 GN=Sidt2 PE=1 SV=1 - [SIDT2_MOUSE],3,3,3.4,0.003,0.075,0.113,0.178,0.337,0.147,0.096,0.022,0.015,0.013
Q8JZL1,Interleukin-17 receptor D GN=Il17rd PE=1 SV=1 - [I17RD_MOUSE],3,3,4.1,0.006,0.075,0.122,0.211,0.232,0.229,0.065,0.044,0.008,0.009
Q8K0T0,Reticulon-1 GN=Rtn1 PE=1 SV=1 - [RTN1_MOUSE],3,3,4.6,0.006,0.042,0.113,0.177,0.207,0.264,0.115,0.057,0.006,0.012
Q8K124,Pleckstrin homology domain-containing family O member 2 GN=Plekho2 PE=1 SV=1 - [PKHO2_MOUSE],3,3,7.1,0.054,0.136,0.146,0.175,0.221,0.102,0.067,0.057,0.023,0.019
Q8K1C0,Protein angel homolog 2 GN=Angel2 PE=2 SV=1 - [ANGE2_MOUSE],3,3,7.4,0.101,0.024,0.030,0.030,0.041,0.091,0.332,0.169,0.035,0.146
Q8K202-2,Isoform 2 of DNA-directed RNA polymerase I subunit RPA49 GN=Polr1e - [RPA49_MOUSE],3,3,7.8,0.193,0.029,0.037,0.039,0.060,0.064,0.100,0.089,0.192,0.197
Q8K284,General transcription factor 3C polypeptide 1 GN=Gtf3c1 PE=2 SV=2 - [TF3C1_MOUSE],3,3,1.8,0.056,0.011,0.019,0.018,0.021,0.060,0.095,0.232,0.375,0.113
Q8K2I1,Protein farnesyltransferase subunit beta GN=Fntb PE=1 SV=1 - [FNTB_MOUSE],3,3,7.8,0.374,0.113,0.136,0.109,0.101,0.074,0.035,0.024,0.017,0.017
Q8K2V6,Importin-11 GN=Ipo11 PE=1 SV=1 - [IPO11_MOUSE],3,3,4.2,0.589,0.050,0.094,0.059,0.056,0.039,0.023,0.012,0.037,0.042
Q8K4F6,Putative methyltransferase NSUN5 GN=Nsun5 PE=2 SV=2 - [NSUN5_MOUSE],3,3,6.7,0.185,0.028,0.037,0.041,0.054,0.069,0.070,0.050,0.222,0.243
Q8K4M5,COMM domain-containing protein 1 GN=Commd1 PE=2 SV=2 - [COMD1_MOUSE],3,3,16.5,0.075,0.057,0.085,0.151,0.260,0.233,0.044,0.018,0.015,0.062
Q8N9S3,Activator of 90 kDa heat shock protein ATPase homolog 2 GN=Ahsa2 PE=2 SV=2 - [AHSA2_MOUSE],3,3,9.1,0.317,0.067,0.069,0.119,0.090,0.067,0.044,0.070,0.080,0.076
Q8R0H9,ADP-ribosylation factor-binding protein GGA1 GN=Gga1 PE=1 SV=1 - [GGA1_MOUSE],3,3,5.7,0.249,0.060,0.092,0.127,0.176,0.182,0.055,0.027,0.013,0.020
Q8R0K9,Transcription factor E2F4 GN=E2f4 PE=2 SV=1 - [E2F4_MOUSE],3,3,8.0,0.247,0.131,0.076,0.067,0.129,0.055,0.056,0.076,0.113,0.049
Q8R0W0,Epiplakin GN=Eppk1 PE=1 SV=2 - [EPIPL_MOUSE],3,3,4.2,0.353,0.089,0.112,0.096,0.101,0.085,0.062,0.019,0.018,0.065
Q8R149,BUD13 homolog GN=Bud13 PE=1 SV=1 - [BUD13_MOUSE],3,3,4.4,0.146,0.016,0.025,0.023,0.031,0.051,0.038,0.030,0.343,0.297
Q8R1J3,Zinc finger CCHC domain-containing protein 9 GN=Zcchc9 PE=2 SV=1 - [ZCHC9_MOUSE],3,3,11.4,0.114,0.013,0.042,0.026,0.027,0.070,0.060,0.084,0.331,0.233
Q8R317,Ubiquilin-1 GN=Ubqln1 PE=1 SV=1 - [UBQL1_MOUSE],3,3,7.9,0.367,0.083,0.098,0.081,0.093,0.076,0.040,0.050,0.056,0.054
Q8R344,Coiled-coil domain-containing protein 12 GN=Ccdc12 PE=1 SV=2 - [CCD12_MOUSE],3,3,25.9,0.143,0.009,0.023,0.008,0.020,0.030,0.041,0.061,0.261,0.404
Q8R3I2-3,Isoform 3 of Lysophospholipid acyltransferase 2 GN=Mboat2 - [MBOA2_MOUSE],3,3,7.9,0.005,0.055,0.085,0.127,0.202,0.200,0.174,0.078,0.042,0.032
Q8R3P7,Clusterin-associated protein 1 GN=Cluap1 PE=1 SV=1 - [CLUA1_MOUSE],3,3,13.3,0.147,0.104,0.147,0.137,0.104,0.104,0.066,0.042,0.060,0.090
Q8R4X3,RNA-binding protein 12 GN=Rbm12 PE=1 SV=3 - [RBM12_MOUSE],3,3,2.9,0.350,0.040,0.055,0.035,0.044,0.043,0.048,0.033,0.134,0.218
Q8VCF1,Soluble calcium-activated nucleotidase 1 GN=Cant1 PE=2 SV=1 - [CANT1_MOUSE],3,3,10.4,0.041,0.038,0.073,0.130,0.185,0.243,0.123,0.109,0.035,0.023
Q8VCN9,Tubulin-specific chaperone C GN=Tbcc PE=2 SV=1 - [TBCC_MOUSE],3,3,11.1,0.396,0.104,0.159,0.060,0.101,0.089,0.035,0.015,0.014,0.027
Q8VCS3,Glycosaminoglycan xylosylkinase GN=Fam20b PE=2 SV=1 - [XYLK_MOUSE],3,3,10.0,0.004,0.026,0.070,0.107,0.166,0.216,0.228,0.099,0.041,0.044
Q8VDV8,MIT domain-containing protein 1 GN=Mitd1 PE=1 SV=1 - [MITD1_MOUSE],3,3,21.7,0.118,0.046,0.105,0.102,0.069,0.090,0.061,0.044,0.180,0.186
Q8VE38-2,Isoform 2 of Oxidoreductase NAD-binding domain-containing protein 1 GN=Oxnad1 - [OXND1_MOUSE],3,3,11.2,0.023,0.014,0.017,0.021,0.023,0.077,0.335,0.310,0.038,0.142
Q8VEJ9,Vacuolar protein sorting-associated protein 4A GN=Vps4a PE=1 SV=1 - [VPS4A_MOUSE],3,3,6.6,0.120,0.102,0.134,0.127,0.146,0.139,0.057,0.039,0.063,0.072
Q8VI33,Transcription initiation factor TFIID subunit 9 GN=Taf9 PE=2 SV=1 - [TAF9_MOUSE],3,3,17.0,0.131,0.022,0.024,0.015,0.028,0.033,0.088,0.102,0.369,0.187
Q91VC9,Growth hormone-inducible transmembrane protein GN=Ghitm PE=2 SV=1 - [GHITM_MOUSE],3,3,21.4,0.004,0.014,0.033,0.062,0.039,0.080,0.243,0.193,0.124,0.209
Q91VH6,Protein MEMO1 GN=Memo1 PE=1 SV=1 - [MEMO1_MOUSE],3,3,22.6,0.255,0.100,0.088,0.108,0.091,0.075,0.045,0.079,0.066,0.094
Q91VJ5,Polyglutamine-binding protein 1 GN=Pqbp1 PE=2 SV=1 - [PQBP1_MOUSE],3,3,22.8,0.131,0.017,0.019,0.015,0.020,0.025,0.040,0.032,0.251,0.450
Q91W89,Alpha-mannosidase 2C1 GN=Man2c1 PE=1 SV=1 - [MA2C1_MOUSE],3,3,4.2,0.378,0.114,0.113,0.088,0.132,0.058,0.036,0.020,0.009,0.052
Q91W98,Solute carrier family 15 member 4 GN=Slc15a4 PE=1 SV=1 - [S15A4_MOUSE],3,3,5.7,0.011,0.079,0.157,0.231,0.241,0.194,0.043,0.024,0.011,0.008
Q91WL8-3,Isoform 3 of WW domain-containing oxidoreductase GN=Wwox - [WWOX_MOUSE],3,3,9.3,0.021,0.040,0.063,0.112,0.164,0.274,0.150,0.094,0.043,0.040
Q91WM1-2,Isoform 2 of Spermatid perinuclear RNA-binding protein GN=Strbp - [STRBP_MOUSE],3,3,4.6,0.142,0.014,0.026,0.018,0.023,0.030,0.037,0.031,0.452,0.228
Q91XC9,Peroxisomal membrane protein PEX16 GN=Pex16 PE=2 SV=2 - [PEX16_MOUSE],3,3,13.4,0.028,0.057,0.055,0.048,0.081,0.108,0.219,0.144,0.078,0.182
Q91YI0,Argininosuccinate lyase GN=Asl PE=2 SV=1 - [ARLY_MOUSE],3,3,7.8,0.354,0.101,0.086,0.073,0.075,0.054,0.082,0.100,0.027,0.046
Q91YR1,Twinfilin-1 GN=Twf1 PE=1 SV=2 - [TWF1_MOUSE],3,3,9.7,0.339,0.112,0.106,0.101,0.108,0.080,0.071,0.026,0.030,0.027
Q91YR5,Methyltransferase-like protein 13 GN=Mettl13 PE=1 SV=1 - [MET13_MOUSE],3,3,5.6,0.201,0.067,0.086,0.064,0.072,0.064,0.074,0.052,0.101,0.220
Q91ZR2,Sorting nexin-18 GN=Snx18 PE=2 SV=1 - [SNX18_MOUSE],3,3,4.2,0.160,0.157,0.131,0.125,0.120,0.097,0.090,0.042,0.029,0.049
Q920I9-2,Isoform 2 of WD repeat-containing protein 7 GN=Wdr7 - [WDR7_MOUSE],3,3,3.8,0.080,0.121,0.092,0.206,0.178,0.146,0.037,0.030,0.019,0.092
Q921I2,Kelch domain-containing protein 4 GN=Klhdc4 PE=1 SV=2 - [KLDC4_MOUSE],3,3,9.9,0.239,0.066,0.081,0.081,0.084,0.076,0.061,0.047,0.099,0.166
Q921W4,Quinone oxidoreductase-like protein 1 GN=Cryzl1 PE=2 SV=1 - [QORL1_MOUSE],3,3,15.2,0.289,0.103,0.100,0.082,0.085,0.078,0.051,0.044,0.074,0.094
Q921Y4,Major facilitator superfamily domain-containing protein 5 GN=Mfsd5 PE=2 SV=1 - [MFSD5_MOUSE],3,3,7.8,0.084,0.072,0.105,0.093,0.189,0.129,0.128,0.101,0.055,0.045
Q922H4,Mannose-1-phosphate guanyltransferase alpha GN=Gmppa PE=2 SV=1 - [GMPPA_MOUSE],3,3,9.8,0.387,0.108,0.129,0.115,0.072,0.076,0.035,0.018,0.019,0.041
Q922Q6,Alpha/beta hydrolase domain-containing protein 14A GN=Abhd14a PE=2 SV=2 - [ABHEA_MOUSE],3,3,16.2,0.044,0.096,0.095,0.106,0.162,0.136,0.127,0.090,0.063,0.082
Q922V4,Pleiotropic regulator 1 GN=Plrg1 PE=2 SV=1 - [PLRG1_MOUSE],3,3,6.0,0.140,0.021,0.033,0.026,0.026,0.054,0.047,0.052,0.288,0.313
Q923B1,Lariat debranching enzyme GN=Dbr1 PE=1 SV=2 - [DBR1_MOUSE],3,3,6.0,0.379,0.046,0.079,0.048,0.062,0.057,0.073,0.037,0.051,0.167
Q923K4,"tRNA modification GTPase GTPBP3, mitochondrial GN=Gtpbp3 PE=2 SV=1 - [GTPB3_MOUSE]",3,3,7.1,0.011,0.036,0.021,0.028,0.042,0.105,0.363,0.224,0.032,0.138
Q924S7,"Sprouty-related, EVH1 domain-containing protein 2 GN=Spred2 PE=1 SV=1 - [SPRE2_MOUSE]",3,3,12.0,0.011,0.138,0.141,0.138,0.208,0.215,0.123,0.020,0.005,0.000
Q99J21,Mucolipin-1 GN=Mcoln1 PE=1 SV=1 - [MCLN1_MOUSE],3,3,6.2,0.000,0.066,0.147,0.238,0.280,0.193,0.051,0.022,0.003,0.000
Q99J25,"rRNA methyltransferase 1, mitochondrial GN=Mrm1 PE=2 SV=2 - [MRM1_MOUSE]",3,3,14.1,0.014,0.024,0.024,0.026,0.034,0.134,0.323,0.256,0.050,0.114
Q99J83,Autophagy protein 5 GN=Atg5 PE=1 SV=1 - [ATG5_MOUSE],3,3,14.5,0.322,0.121,0.142,0.131,0.092,0.063,0.017,0.034,0.021,0.057
Q99JP0,Mitogen-activated protein kinase kinase kinase kinase 3 GN=Map4k3 PE=1 SV=4 - [M4K3_MOUSE],3,3,3.5,0.084,0.089,0.102,0.115,0.109,0.147,0.071,0.061,0.111,0.111
Q99JR8-2,Isoform 2 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 GN=Smarcd2 - [SMRD2_MOUSE],3,3,9.5,0.100,0.000,0.007,0.008,0.014,0.034,0.070,0.171,0.431,0.165
Q99LC2,Cleavage stimulation factor subunit 1 GN=Cstf1 PE=2 SV=1 - [CSTF1_MOUSE],3,3,6.7,0.067,0.033,0.012,0.017,0.015,0.024,0.040,0.038,0.357,0.397
Q99LC9,Peroxisome assembly factor 2 GN=Pex6 PE=2 SV=1 - [PEX6_MOUSE],3,3,4.0,0.126,0.030,0.072,0.054,0.072,0.103,0.163,0.133,0.059,0.187
Q99LD9,Translation initiation factor eIF-2B subunit beta GN=Eif2b2 PE=2 SV=1 - [EI2BB_MOUSE],3,3,9.7,0.509,0.062,0.090,0.056,0.060,0.049,0.027,0.031,0.037,0.078
Q99LJ8,Nogo-B receptor GN=Nus1 PE=2 SV=1 - [NGBR_MOUSE],3,3,21.5,0.000,0.069,0.098,0.129,0.174,0.171,0.164,0.131,0.015,0.049
Q99MU3-5,Isoform 5 of Double-stranded RNA-specific adenosine deaminase GN=Adar - [DSRAD_MOUSE],3,3,2.6,0.111,0.030,0.021,0.020,0.026,0.033,0.067,0.081,0.361,0.251
Q9CPR8,Melanoma-associated antigen G1 GN=Ndnl2 PE=1 SV=1 - [MAGG1_MOUSE],3,3,12.5,0.095,0.019,0.033,0.015,0.051,0.050,0.125,0.099,0.355,0.157
Q9CPW7,Zinc finger matrin-type protein 2 GN=Zmat2 PE=2 SV=1 - [ZMAT2_MOUSE],3,3,17.1,0.105,0.041,0.042,0.029,0.043,0.042,0.063,0.053,0.240,0.343
Q9CPY1,"39S ribosomal protein L51, mitochondrial GN=Mrpl51 PE=2 SV=1 - [RM51_MOUSE]",3,3,23.4,0.011,0.011,0.013,0.020,0.034,0.081,0.411,0.208,0.066,0.144
Q9CQ91,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 GN=Ndufa3 PE=1 SV=1 - [NDUA3_MOUSE],3,3,50.0,0.000,0.014,0.013,0.014,0.028,0.097,0.400,0.230,0.087,0.117
Q9CQF8,"Ribosomal protein 63, mitochondrial GN=Mrp63 PE=2 SV=1 - [RT63_MOUSE]",3,3,20.6,0.006,0.012,0.015,0.020,0.028,0.085,0.399,0.236,0.068,0.132
Q9CQT2,RNA-binding protein 7 GN=Rbm7 PE=1 SV=1 - [RBM7_MOUSE],3,3,14.0,0.271,0.023,0.041,0.032,0.039,0.047,0.064,0.039,0.214,0.231
Q9CR23,Transmembrane protein 9 GN=Tmem9 PE=2 SV=1 - [TMEM9_MOUSE],3,3,26.2,0.064,0.053,0.072,0.148,0.285,0.177,0.105,0.032,0.014,0.050
Q9CR95,Adaptin ear-binding coat-associated protein 1 GN=Necap1 PE=1 SV=2 - [NECP1_MOUSE],3,3,15.6,0.078,0.149,0.102,0.102,0.132,0.124,0.150,0.034,0.037,0.093
Q9CRB2,H/ACA ribonucleoprotein complex subunit 2 GN=Nhp2 PE=2 SV=1 - [NHP2_MOUSE],3,3,26.8,0.172,0.023,0.032,0.032,0.055,0.045,0.044,0.020,0.420,0.156
Q9CWM4,Prefoldin subunit 1 GN=Pfdn1 PE=2 SV=1 - [PFD1_MOUSE],3,3,21.3,0.480,0.118,0.104,0.073,0.103,0.047,0.036,0.009,0.013,0.018
Q9CXG3,Peptidyl-prolyl cis-trans isomerase-like 4 GN=Ppil4 PE=2 SV=2 - [PPIL4_MOUSE],3,3,6.9,0.274,0.049,0.044,0.029,0.056,0.041,0.062,0.032,0.179,0.234
Q9CXH7,Shugoshin-like 1 GN=Sgol1 PE=2 SV=1 - [SGOL1_MOUSE],3,3,7.0,0.107,0.008,0.009,0.018,0.028,0.054,0.072,0.151,0.414,0.140
Q9CXK9,RNA-binding protein 33 GN=Rbm33 PE=1 SV=2 - [RBM33_MOUSE],3,3,3.1,0.198,0.020,0.033,0.014,0.018,0.045,0.060,0.018,0.358,0.237
Q9CY66-3,Isoform 3 of H/ACA ribonucleoprotein complex subunit 1 GN=Gar1 - [GAR1_MOUSE],3,3,16.6,0.175,0.023,0.039,0.031,0.042,0.040,0.042,0.020,0.426,0.163
