Lead gene name,Canonical lead protein ID,Majority protein IDs,Protein names,Marker protein?,Prediction,SVM score,Prediction confidence class,Subcellular distribution,Median copy number,Max copy number,Min copy number,Abundance percentile (copy numbers),Median cellular concentration [nM],Max cellular concentration [nM],Min cellular concentration [nM],ppm of total cell mass,Average Nuclear Fraction,Average Membrane,Average Cytosol Fraction,MSMS count,MW (kD)
Pi4k2a,Q2TBE6,Q2TBE6,Phosphatidylinositol 4-kinase type 2-alpha,,Endosome,0.29,Low,Mostly Organellar,"8,545","12,106","6,734",51.3%,30.7,49.6,26.1,9.0,15%,80%,5%,192,54.257
Pdzd8,B9EJ80,B9EJ80,,,Endosome,0.28,Low,,"5,564","6,391","3,112",44.8%,20.5,23.5,12.7,13.7,,,,237,127.74
Snx1,Q6NZD2,Q6NZD2;Q9WV80,Sorting nexin-1,Endosome,Endosome,0.28,Low,Organellar with Cytosolic pool,"141,113","166,165","128,143",86.5%,539.2,579.5,516.3,160.6,4%,14%,82%,400,58.878
Sdcbp,O08992,O08992;Q3TMX0;H3BLG5;A2AKJ9;A2AKJ6,Syntenin-1,,Endosome,0.28,Low,Organellar with Cytosolic pool,"13,240","15,734","12,142",57.6%,50.5,58.4,46.1,8.3,2%,36%,61%,107,32.379
Nisch,Q80TM9,Q80TM9;Q80TM9-3;Q80TM9-2,Nischarin,,Endosome,0.28,Low,Mostly Cytosolic,"9,276","16,662","8,244",52.4%,35.7,58.1,32.7,31.4,1%,6%,93%,148,175.01
Slk,O54988,O54988-2;O54988,STE20-like serine/threonine-protein kinase,,Endosome,0.28,Low,Mostly Cytosolic,"16,527","20,367","10,248",61.1%,60.7,75.6,41.9,44.0,0%,5%,95%,205,137.71
Cntfr,O88507,O88507,Ciliary neurotrophic factor receptor subunit alpha,,Endosome,0.27,Low,,"26,059","36,971","24,825",68.1%,100.4,128.9,98.4,20.5,,,,171,40.801
Atp6v1e1,P50518,P50518;A0A0N4SW07,V-type proton ATPase subunit E 1,Endosome,Endosome,0.27,Low,Organellar with Cytosolic pool,"216,224","334,549","195,227",89.8%,836.5,1166.7,767.4,109.3,3%,12%,85%,244,26.157
Fryl,F8VQ05,F8VQ05,,,Endosome,0.27,Low,Organellar with Cytosolic pool,"4,243","5,136","3,322",40.9%,16.7,18.3,12.3,27.7,2%,32%,66%,366,337.82
Bcr,Q6PAJ1,Q6PAJ1,Breakpoint cluster region protein,,Endosome,0.27,Low,Organellar with Cytosolic pool,"13,473","15,891","10,790",57.9%,50.9,61.6,40.0,37.3,3%,21%,76%,330,143.07
Slc6a17,Q8BJI1,Q8BJI1;A0A0R4J087;A0A0R4J252,Sodium-dependent neutral amino acid transporter SLC6A17,,Endosome,0.26,Low,Mostly Organellar,807,"1,128",645,20.7%,3.1,3.9,2.5,1.3,0%,98%,2%,66,81.07
Gak,Q99KY4,Q99KY4;A0A0R4J0F6;Q99KY4-2,Cyclin-G-associated kinase,,Endosome,0.26,Low,Organellar with Cytosolic pool,"8,926","10,328","6,426",51.9%,32.6,38.8,26.3,24.8,3%,29%,68%,292,143.64
Dlg3,P70175,P70175;Q52KF7;A2BEE9,Disks large homolog 3,,Endosome,0.26,Low,Organellar with Cytosolic pool,"10,871","12,692","9,562",54.7%,43.3,44.3,35.5,19.6,4%,34%,62%,209,93.481
Slc9a3r1,P70441,P70441,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,,Endosome,0.25,Low,Organellar with Cytosolic pool,"51,095","73,170","36,804",76.6%,203.5,255.2,136.5,38.1,3%,17%,80%,254,38.6
Scg3,P47867,P47867;P47867-2,Secretogranin-3,,Endosome,0.24,Low,Mostly Organellar,"2,810","3,567","2,233",35.3%,10.7,12.4,9.1,2.9,0%,98%,2%,108,53.326
Fam168a,Q8BGZ2,Q8BGZ2-2;Q8BGZ2,Protein FAM168A,,Endosome,0.24,Low,,"16,306","18,141","14,359",60.9%,64.9,67.3,50.1,7.9,,,,87,25.061
Anks1a,P59672,P59672-2,Ankyrin repeat and SAM domain-containing protein 1A,,Endosome,0.24,Low,Mostly Cytosolic,"8,288","11,325","5,969",50.9%,33.0,39.5,22.1,20.4,1%,9%,90%,124,127.1
Hpcal1,P62748,P62748,Hippocalcin-like protein 1,,Endosome,0.24,Low,Organellar with Cytosolic pool,"151,273","160,838","134,063",87.1%,556.0,596.7,548.8,65.3,3%,8%,89%,177,22.338
Nacad,Q5SWP3,Q5SWP3,NAC-alpha domain-containing protein 1,,Endosome,0.23,Low,,"15,320","17,257","15,204",59.9%,59.5,62.9,56.7,46.4,,,,659,156.76
Atp6v1b2,P62814,P62814,"V-type proton ATPase subunit B, brain isoform",Endosome,Endosome,0.22,Low,Organellar with Cytosolic pool,"232,892","283,802","200,856",90.4%,900.1,1006.3,778.0,254.5,2%,10%,88%,478,56.55
Cntn1,P12960,P12960,Contactin-1,,Endosome,0.22,Low,Mostly Organellar,455,941,262,15.5%,1.8,3.3,1.0,1.0,0%,100%,0%,87,113.39
Stam2,O88811,O88811;O88811-2,Signal transducing adapter molecule 2,Endosome,Endosome,0.22,Low,,"60,771","72,081","54,559",78.4%,229.6,267.4,211.3,67.5,,,,204,57.454
Wasl,Q91YD9,Q91YD9;Q3TXX8,Neural Wiskott-Aldrich syndrome protein,,Endosome,0.22,Low,,"11,016","13,824","8,290",54.9%,41.8,48.2,33.9,11.6,,,,133,54.274
Fmnl2,A2APV2,A2APV2-3;A2APV2;E9PXE6;F8VPR2;A2APV2-2;F6XR20,Formin-like protein 2,,Endosome,0.22,Low,Organellar with Cytosolic pool,"32,638","33,807","25,855",71.1%,120.0,138.4,95.9,78.2,4%,57%,39%,752,123.98
Atl1,Q8BH66,Q8BH66,Atlastin-1,,Endosome,0.21,Low,,"33,620","41,986","31,735",71.5%,133.9,146.4,117.7,41.2,,,,439,63.377
Gab1,Q9QYY0,Q9QYY0;Q505A4,GRB2-associated-binding protein 1,,Endosome,0.21,Low,Mostly Cytosolic,"22,399","34,513","13,287",66.0%,89.2,120.4,49.3,33.3,0%,8%,92%,134,76.812
Arl8a,Q8VEH3,Q8VEH3;F6QKK2,ADP-ribosylation factor-like protein 8A,Endosome,Endosome,0.21,Low,,"148,678","181,132","131,616",87.0%,579.4,631.7,509.8,61.5,,,,408,21.39
Ocrl,Q6NVF0,Q6NVF0;Q6NVF0-2,Inositol polyphosphate 5-phosphatase OCRL-1,Endosome,Endosome,0.21,Low,Organellar with Cytosolic pool,"2,532","3,912","1,323",34.0%,10.1,13.6,4.9,5.1,2%,39%,59%,104,104.28
Tsg101,Q61187,Q61187;Q3UCW0,Tumor susceptibility gene 101 protein,,Endosome,0.20,Low,,"98,574","110,342","82,133",83.3%,373.7,384.8,336.2,84.1,,,,438,44.123
Tcaf1,Q8BNE1,Q8BNE1,TRPM8 channel-associated factor 1,,Endosome,0.20,Low,,"8,671","9,338","6,521",51.6%,31.9,34.6,26.7,17.2,,,,145,102.73
Scamp2,Q9ERN0,Q9ERN0;Q3TAL2,Secretory carrier-associated membrane protein 2,Endosome,Endosome,0.20,Low,,"7,072","7,571","6,089",48.4%,25.4,31.0,23.6,5.0,,,,63,36.464
Trim32,Q8CH72,Q8CH72;Q3TLR3,E3 ubiquitin-protein ligase TRIM32,,Endosome,0.20,Low,,"4,022","6,202","2,954",40.1%,14.8,25.4,11.0,5.6,,,,105,72.057
Nell2,Q61220,Q61220,Protein kinase C-binding protein NELL2,,Endosome,0.19,Low,Mostly Organellar,"1,351","1,463","1,034",26.3%,5.0,5.6,4.0,2.4,6%,82%,12%,87,91.431
Abcf3,Q8K268,Q8K268,ATP-binding cassette sub-family F member 3,,Endosome,0.18,Low,Organellar with Cytosolic pool,"16,895","19,803","10,756",61.5%,64.0,69.1,44.0,26.1,3%,7%,89%,139,79.864
Snap25,P60879,P60879-2,Synaptosomal-associated protein 25,,Endosome,0.18,Low,Mostly Organellar,"13,457","17,907","7,528",57.9%,49.5,73.3,27.9,6.1,0%,100%,0%,64,23.336
Cttn,Q60598,Q60598;Q921L6,Src substrate cortactin,Actin binding proteins,Endosome,0.17,Low,,"260,546","265,651","208,679",91.1%,937.2,1029.0,854.2,308.4,,,,596,61.249
Avl9,Q80U56,Q80U56,Late secretory pathway protein AVL9 homolog,,Endosome,0.16,Low,,"12,698","14,218","11,292",57.0%,48.7,53.5,41.9,17.7,,,,125,72.185
Igbp1,Q61249,Q61249,Immunoglobulin-binding protein 1,,Endosome,0.16,Low,Organellar with Cytosolic pool,"38,359","43,591","27,577",73.2%,139.7,174.1,106.8,28.9,2%,10%,88%,172,38.97
Vps26a,P40336,P40336;P40336-2,Vacuolar protein sorting-associated protein 26A,Endosome,Endosome,0.15,Low,Organellar with Cytosolic pool,"48,431","73,407","46,201",76.0%,192.8,272.3,161.1,35.7,0%,16%,83%,188,38.113
Nck2,O55033,O55033,Cytoplasmic protein NCK2,,Endosome,0.14,Low,,"19,130","22,550","18,219",63.3%,76.2,78.6,67.6,15.9,,,,205,42.879
Agfg1,Q8K2K6,Q8K2K6;A0A087WNV1;A0A087WSR7;A0A087WR52;Q8K2K6-3;Q8K2K6-1,Arf-GAP domain and FG repeat-containing protein 1,,Endosome,0.14,Low,,"32,820","38,793","28,826",71.1%,128.3,143.9,104.3,36.8,,,,287,58.042
Igfbp2,P47877,P47877;D3YU40,Insulin-like growth factor-binding protein 2,,Endosome,0.13,Low,Mostly Organellar,"5,039","5,609","3,238",43.4%,18.3,21.2,13.3,3.2,7%,84%,8%,84,32.846
Aida,Q8C4Q6,Q8C4Q6;Q8C4Q6-2,"Axin interactor, dorsalization-associated protein",,Endosome,0.13,Low,Organellar with Cytosolic pool,"10,169","13,637","6,115",53.6%,36.6,52.8,25.0,6.9,1%,54%,45%,135,34.888
Vps33b,P59016,P59016,Vacuolar protein sorting-associated protein 33B,,Endosome,0.13,Low,,"12,375","15,053","10,144",56.5%,48.9,53.4,37.6,16.9,,,,176,70.525
Trappc4,Q9ES56,Q9ES56;Q544R8,Trafficking protein particle complex subunit 4,Large Protein Complex,Endosome,0.12,Low,Organellar with Cytosolic pool,"39,818","46,637","26,229",73.7%,152.3,176.3,97.3,18.8,3%,17%,81%,120,24.385
Vps8,Q0P5W1,Q0P5W1;F8WI64;D3YUP0;Q0P5W1-3;Q0P5W1-2;F6ZLN8,Vacuolar protein sorting-associated protein 8 homolog,,Endosome,0.11,Low,,"5,493","6,423","2,597",44.6%,19.8,24.9,10.6,17.1,,,,138,161.14
Gnas,P63094,P63094-2;Q6R0H7-4,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,Plasma membrane,Endosome,0.11,Low,,"137,521","157,602","125,437",86.2%,543.8,557.3,465.4,117.6,,,,480,44.265
Spg21,Q9CQC8,Q9CQC8;Q9CQC8-2,Maspardin,,Endosome,0.10,Low,Organellar with Cytosolic pool,"8,307","15,898","5,006",50.9%,31.4,61.6,18.6,5.6,1%,28%,71%,77,34.952
Pak3,Q61036,Q61036;Q61036-2;A3KGC5,Serine/threonine-protein kinase PAK 3,,Endosome,0.10,Low,Mostly Cytosolic,"36,216","49,194","29,689",72.5%,141.1,171.6,115.0,43.7,1%,6%,93%,150,62.397
Cdk17,Q8K0D0,Q8K0D0;Q8K0D0-2,Cyclin-dependent kinase 17,,Endosome,0.10,Low,,"8,241","9,015","6,546",50.8%,31.2,31.6,26.8,9.5,,,,173,59.505
Ppfia2,Q8BSS9,Q8BSS9;B8QI34,Liprin-alpha-2,,Endosome,0.09,Low,Organellar with Cytosolic pool,"4,117","6,217","2,150",40.4%,16.4,21.7,8.0,11.4,2%,32%,66%,182,143.23
Wwp2,Q9DBH0,Q9DBH0;I3RSH5,NEDD4-like E3 ubiquitin-protein ligase WWP2;E3 ubiquitin-protein ligase,,Endosome,0.09,Low,Organellar with Cytosolic pool,"1,337","1,433",891,26.1%,4.8,5.5,3.6,2.6,2%,72%,26%,69,98.76
Pak7,Q8C015,Q8C015,Serine/threonine-protein kinase PAK 7,,Endosome,0.08,Low,,"4,918","7,807","3,498",43.0%,19.6,27.2,13.0,7.7,,,,175,80.947
Tax1bp1,Q3UKC1,Q3UKC1,Tax1-binding protein 1 homolog,,Endosome,0.08,Low,Organellar with Cytosolic pool,"5,149","6,730","4,354",43.8%,19.0,26.1,17.0,9.3,0%,24%,76%,132,93.629
Loh12cr1,E9Q2W8,E9Q2W8;Q9D920,Loss of heterozygosity 12 chromosomal region 1 protein homolog,,Endosome,0.06,Low,Organellar with Cytosolic pool,"9,708","15,065","8,506",52.9%,36.7,58.4,31.6,4.2,5%,54%,41%,63,22.59
Sec24b,Q80ZX0,Q80ZX0,,Large Protein Complex,Endosome,0.06,Low,Organellar with Cytosolic pool,"13,729","15,789","12,781",58.2%,54.5,55.4,47.4,36.0,5%,36%,59%,326,135.55
Napa,Q9DB05,Q9DB05,Alpha-soluble NSF attachment protein,,Endosome,0.06,Low,,"168,047","182,159","149,797",88.1%,628.4,652.9,613.2,107.8,,,,554,33.189
Cpe,Q543R4,Q543R4;Q00493,Carboxypeptidase E,,Endosome,0.06,Low,Organellar with Cytosolic pool,"9,321","9,673","8,145",52.5%,33.5,37.5,33.3,9.6,4%,76%,19%,177,53.255
Taok1,Q5F2E8,Q5F2E8;B2RX66,Serine/threonine-protein kinase TAO1,,Endosome,0.05,Low,,"16,509","18,812","13,039",61.1%,63.3,67.9,50.5,37.0,,,,529,116.05
Dnajc5,P60904,P60904,DnaJ homolog subfamily C member 5,,Endosome,0.05,Low,Mostly Organellar,"94,935","99,684","60,521",83.0%,361.4,380.4,224.5,40.6,16%,80%,4%,156,22.101
Ndrg1,Q62433,Q62433;Q545R3;E9Q514,Protein NDRG1,,Endosome,0.05,Low,Organellar with Cytosolic pool,"47,328","86,135","39,727",75.7%,188.5,300.4,147.4,39.3,2%,9%,90%,152,43.008
Tmem63b,Q3TWI9,Q3TWI9,CSC1-like protein 2,,Endosome,0.05,Low,Mostly Organellar,"1,601","1,991",831,28.4%,5.8,7.7,3.4,2.9,0%,98%,2%,66,94.774
Sez6,Q7TSK2,Q7TSK2,Seizure protein 6,,Endosome,0.04,Low,Mostly Organellar,"4,861","5,574","4,334",42.8%,18.1,20.7,17.3,10.1,12%,87%,1%,215,107.43
Prex1,Q69ZK0,Q69ZK0;I7HPV9,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein",,Endosome,0.04,Low,Mostly Cytosolic,"18,695","21,972","16,613",62.9%,72.9,76.6,64.3,66.8,2%,4%,94%,250,184.93
Vps16,G3X8X7,G3X8X7;Q920Q4;Q920Q4-2,Vacuolar protein sorting-associated protein 16 homolog,Endosome,Endosome,0.04,Low,Organellar with Cytosolic pool,"8,704","10,748","6,707",51.6%,33.0,37.5,27.5,16.0,2%,64%,34%,230,94.825
Ptp4a2,O70274,O70274,Protein tyrosine phosphatase type IVA 2,,Endosome,0.03,Low,,"52,253","63,533","41,667",76.9%,197.9,244.9,154.6,19.3,,,,101,19.127
Commd8,Q4QQP1,Q4QQP1;Q9CZG3,COMM domain-containing protein 8,,Endosome,0.03,Low,Organellar with Cytosolic pool,"38,429","45,637","32,314",73.3%,141.1,181.0,123.9,15.5,2%,19%,78%,148,20.852
App,P12023,P12023-2;P12023;P12023-3,Amyloid beta A4 protein;N-APP;Soluble APP-alpha;Soluble APP-beta;C99;Beta-amyloid protein 42;Beta-amyloid protein 40;C83;P3(42);P3(40);C80;Gamma-secretase C-terminal fragment 59;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 50;C31,Endosome,Endosome,0.03,Low,,"13,046","13,775","7,477",57.4%,47.6,51.7,30.6,19.8,,,,251,78.442
Inpp5k,Q8C5L6,Q8C5L6;Q5ND43,Inositol polyphosphate 5-phosphatase K,,Endosome,0.02,Low,,"8,053","8,886","7,000",50.4%,29.0,36.4,27.1,8.4,,,,122,54.158
Commd6,Q3V4B5,Q3V4B5;B7ZNP2;B7ZNP3,COMM domain-containing protein 6,,Endosome,0.02,Low,Organellar with Cytosolic pool,"62,571","75,669","32,209",78.7%,249.2,263.9,119.5,11.8,1%,26%,73%,111,9.7951
Vps28,Q9D1C8,Q9D1C8,Vacuolar protein sorting-associated protein 28 homolog,,Endosome,0.01,Low,,"142,763","190,142","110,648",86.6%,553.0,700.8,410.5,70.2,,,,330,25.452
Bin1,O08539,O08539;Q6P1B9;O08539-2,Myc box-dependent-interacting protein 1,,Endosome,0.01,Low,Organellar with Cytosolic pool,"30,665","36,886","26,205",70.3%,119.5,128.6,101.5,38.2,3%,10%,87%,176,64.469
Chmp1a,Q921W0,Q921W0,Charged multivesicular body protein 1a,,Endosome,-0.01,Very Low,,"108,072","177,251","55,684",84.1%,397.2,657.6,227.9,45.1,,,,173,21.607
Wdfy1,E9Q4P1,E9Q4P1,,Endosome,Endosome,-0.02,Very Low,Organellar with Cytosolic pool,"11,776","18,526","7,383",55.8%,46.9,64.6,27.4,10.5,3%,30%,67%,107,46.217
Exoc2,Q9D4H1,Q9D4H1,Exocyst complex component 2,Large Protein Complex,Endosome,-0.02,Very Low,,"9,733","9,835","7,946",53.0%,35.2,37.6,32.5,19.6,,,,260,103.96
Commd10,Q8JZY2,Q8JZY2;Q3TKN7,COMM domain-containing protein 10,,Endosome,-0.03,Very Low,,"16,801","21,047","15,023",61.3%,61.8,86.1,55.7,7.4,,,,102,22.812
G6pdx,Q00612,Q00612;Q790Y8;A3KG36,Glucose-6-phosphate 1-dehydrogenase X;Glucose-6-phosphate 1-dehydrogenase,,Endosome,-0.03,Very Low,Mostly Cytosolic,"223,722","287,411","169,385",90.1%,890.8,1002.3,628.4,256.2,2%,6%,92%,413,59.262
Vipas39,Q8BGQ1,Q8BGQ1;Q8BGQ1-2,Spermatogenesis-defective protein 39 homolog,,Endosome,-0.04,Very Low,Organellar with Cytosolic pool,"6,570","8,452","6,390",47.2%,25.6,29.5,24.7,7.2,3%,26%,70%,102,56.624
Lztfl1,Q9JHQ5,Q9JHQ5;F6VTH5,Leucine zipper transcription factor-like protein 1,,Endosome,-0.05,Very Low,Mostly Cytosolic,"75,384","87,645","57,238",80.9%,300.2,305.6,212.4,50.7,1%,6%,93%,152,34.773
Wnk2,E9Q6Q2,E9Q6Q2;E9QMI9;E9QJQ9;E0CYT1;E9QMI8;E9QM73;Q3UH66-6;Q3UH66-7;Q3UH66-4;Q3UH66-3;Q3UH66-5;Q3UH66;E0CZE3;Q3UH66-2;A0A0R4J1Z1,Serine/threonine-protein kinase WNK2,,Endosome,-0.05,Very Low,Mostly Cytosolic,"11,915","18,961","10,183",56.0%,47.4,66.1,37.8,48.6,1%,9%,90%,241,211.11
Rtn1,Q8K0T0,Q8K0T0;Q4FJL2,Reticulon-1;Reticulon,ER_high_curvature,Endosome,-0.07,Very Low,,"257,492","294,696","205,755",91.0%,964.6,1052.5,842.2,415.9,,,,686,83.571
Stx8,O88983,O88983;Q9D0J1,Syntaxin-8,Endosome,Endosome,-0.07,Very Low,Mostly Organellar,"15,473","17,059","12,994",60.1%,60.4,61.9,48.2,8.1,16%,83%,1%,115,26.925
Sort1,Q6PHU5,Q6PHU5-2;Q6PHU5;A2AEF0,Sortilin,Endosome,Endosome,-0.07,Very Low,Mostly Organellar,"19,970","28,385","18,140",64.0%,79.5,99.0,67.3,36.6,15%,80%,5%,366,94.812
Sec23b,Q9D662,Q9D662,Protein transport protein Sec23B,Large Protein Complex,Endosome,-0.07,Very Low,Organellar with Cytosolic pool,"27,912","29,220","18,095",69.0%,102.5,108.7,74.1,46.6,5%,26%,70%,349,86.436
Epn1,Q80VP1,Q80VP1,Epsin-1,,Endosome,-0.08,Very Low,Organellar with Cytosolic pool,"13,641","14,246","9,662",58.1%,50.1,52.9,39.5,15.9,3%,37%,61%,176,60.211
Ranbp6,Q8BIV3,Q8BIV3;A3KMD2,Ran-binding protein 6,,Endosome,-0.08,Very Low,,"3,488","6,296","2,804",38.3%,12.8,23.4,11.5,8.4,,,,129,124.59
Dvl2,Q60838,Q60838,Segment polarity protein dishevelled homolog DVL-2,,Endosome,-0.08,Very Low,Organellar with Cytosolic pool,"6,012","11,393","5,098",45.9%,23.9,39.7,18.9,9.2,3%,27%,70%,118,78.86
Ncs1,Q8BNY6,Q8BNY6,Neuronal calcium sensor 1,,Endosome,-0.08,Very Low,Organellar with Cytosolic pool,"47,375","50,484","31,830",75.7%,174.5,186.4,130.3,20.0,1%,35%,64%,114,21.878
Cpne3,Q8BT60,Q8BT60,Copine-3,,Endosome,-0.11,Very Low,Mostly Cytosolic,"52,364","53,866","51,040",76.9%,194.6,217.3,187.8,60.3,1%,4%,96%,113,59.584
Snx12,Q6ZWQ5,Q6ZWQ5;Q3TGS7;Q3V2H3;O70493,Sorting nexin-12,,Endosome,-0.12,Very Low,Organellar with Cytosolic pool,"256,434","323,091","244,375",91.0%,1009.0,1126.7,928.5,93.6,4%,9%,86%,151,18.884
Nedd4l,E9PXB7,E9PXB7;Q8CFI0,E3 ubiquitin-protein ligase NEDD4-like,,Endosome,-0.12,Very Low,Organellar with Cytosolic pool,"61,669","95,439","52,605",78.5%,245.6,332.8,195.2,133.8,3%,13%,85%,571,112.22
Vps13c,Q8BX70,Q8BX70;Q8BX70-2;Q8BX70-3,Vacuolar protein sorting-associated protein 13C,,Endosome,-0.12,Very Low,Organellar with Cytosolic pool,819,"1,791",690,20.9%,3.1,6.9,2.6,6.6,1%,16%,83%,91,420.08
Tmem106b,Q80X71,Q80X71;D3Z191;D3Z0M2;D3Z6E0,Transmembrane protein 106B,,Endosome,-0.14,Very Low,Organellar with Cytosolic pool,"4,648","4,953","3,551",42.2%,17.1,18.4,14.5,2.8,1%,78%,21%,79,31.172
Hecw1,Q8K4P8,Q8K4P8;Q8K4P8-2,E3 ubiquitin-protein ligase HECW1,,Endosome,-0.14,Very Low,Organellar with Cytosolic pool,"8,830","10,549","5,557",51.8%,33.5,40.6,20.6,30.6,2%,21%,77%,263,179.47
Cnst,Q8CBC4,Q8CBC4;Q8CBC4-3,Consortin,,Endosome,-0.14,Very Low,,"2,713","3,371","1,849",34.9%,10.0,12.5,7.6,4.0,,,,117,76.865
Kidins220,E9Q9B7,E9Q9B7,,,Endosome,-0.17,Very Low,Mostly Organellar,"6,785","7,497","6,094",47.7%,26.4,27.4,22.6,26.1,11%,89%,1%,621,199.18
Lmbrd2,Q8C561,Q8C561;Q8C561-2;Q8C561-3,LMBR1 domain-containing protein 2,,Endosome,-0.17,Very Low,Mostly Organellar,"1,214","1,874",966,25.2%,4.5,7.0,4.0,1.9,0%,100%,0%,70,81.1
Taok2,Q6ZQ29,Q6ZQ29-2,Serine/threonine-protein kinase TAO2,,Endosome,-0.17,Very Low,,"6,744","8,026","5,428",47.6%,25.6,28.0,22.2,15.6,,,,325,119.96
Rtn4,Q99P72,Q99P72;Q99P72-3,Reticulon-4,ER_high_curvature,Endosome,-0.17,Very Low,,"267,587","333,117","261,792",91.2%,1053.6,1161.7,993.3,654.8,,,,2222,126.61
Rptor,A2ACM0,A2ACM0;Q8K4Q0,Regulatory-associated protein of mTOR,,Endosome,-0.17,Very Low,Organellar with Cytosolic pool,"10,747","12,940","8,137",54.5%,42.8,45.1,30.2,31.1,1%,12%,87%,204,149.5
Rab3gap2,E9QKE4,E9QKE4;A0A0A6YWM5;Q8BMG7,Rab3 GTPase-activating protein non-catalytic subunit,,Endosome,-0.18,Very Low,Organellar with Cytosolic pool,"4,452","6,265","2,503",41.5%,16.0,24.3,10.2,13.3,3%,15%,82%,105,154.64
Fibp,Q9JI19,Q9JI19;Q8K2D8,Acidic fibroblast growth factor intracellular-binding protein,,Endosome,-0.19,Very Low,,"7,341","16,709","3,623",48.9%,26.4,64.7,14.8,5.8,,,,94,41.204
Atp6v1d,P57746,P57746;Q3U861,V-type proton ATPase subunit D,,Endosome,-0.20,Very Low,Organellar with Cytosolic pool,"97,100","124,064","61,403",83.2%,349.3,480.6,251.3,53.2,2%,11%,87%,162,28.369
Gpsm1,Q6IR34,Q6IR34;Q6IR34-3;Q6IR34-5;Q6IR34-2;F6SX81,G-protein-signaling modulator 1,,Endosome,-0.21,Very Low,Mostly Cytosolic,"56,370","77,507","43,798",77.6%,214.9,282.6,169.7,81.0,1%,4%,95%,191,74.361
Rab4a,P56371,P56371,Ras-related protein Rab-4A,Endosome,Endosome,-0.24,Very Low,Organellar with Cytosolic pool,"52,974","226,716","29,720",77.0%,206.4,878.2,103.6,25.0,4%,36%,60%,94,24.408
Pdcd10,Q8VE70,Q8VE70;F8WI55,Programmed cell death protein 10,,Endosome,-0.25,Very Low,,"24,922","39,352","20,878",67.5%,97.1,152.4,72.8,11.9,,,,120,24.715
Nbea,Q9EPN1,Q9EPN1;Q9EPN1-4;Q9EPN1-3,Neurobeachin,,Endosome,-0.26,Very Low,Mostly Cytosolic,"49,459","56,642","31,571",76.2%,182.1,231.0,117.1,312.3,1%,4%,96%,715,326.74
Sorbs2,Q3UTJ2,Q3UTJ2-2;B9EKP8;E9Q0B0;B7ZWM6;A0A0R4J1T1;Z4YJR7,Sorbin and SH3 domain-containing protein 2,Actin binding proteins,Endosome,-0.26,Very Low,,"25,380","29,601","17,461",67.7%,93.3,109.8,71.5,71.1,,,,751,145.01
Reep1,Q8BGH4,Q8BGH4,Receptor expression-enhancing protein 1,,Endosome,-0.27,Very Low,,"42,714","60,164","41,605",74.5%,167.0,209.8,160.0,18.4,,,,130,22.284
Stx1a,D6RFB9,D6RFB9;O35526;Q497P1;A0A0J9YUA0,Syntaxin-1A,,Endosome,-0.28,Very Low,Mostly Organellar,"6,787","10,145","4,815",47.7%,27.0,35.4,17.9,3.9,3%,97%,1%,87,29.485
Nudt5,Q9JKX6,Q9JKX6;A2ATT5,ADP-sugar pyrophosphatase,,Endosome,-0.28,Very Low,Mostly Cytosolic,"139,657","188,451","115,963",86.4%,513.3,699.2,474.7,64.7,2%,4%,94%,141,23.984
Bicd1,Q8BR07,Q8BR07;G3UXK5;B2KG46;Q8BR07-3;Q8BR07-4,Protein bicaudal D homolog 1,,Endosome,-0.28,Very Low,Organellar with Cytosolic pool,"3,227","3,832","2,902",37.3%,12.2,14.8,10.8,6.0,3%,47%,50%,140,95.895
Cttnbp2nl,Q99LJ0,Q99LJ0,CTTNBP2 N-terminal-like protein,,Endosome,-0.29,Very Low,Organellar with Cytosolic pool,"13,048","17,989","9,754",57.4%,46.9,69.7,39.9,17.6,3%,29%,69%,210,69.84
Kalrn,A2CG49,A2CG49;A2CG49-7;A2CG49-2;F6QYT9;A0A0A0MQF1;A2CG49-9;A2CG49-8;B1B1A7,Kalirin,,Endosome,-0.29,Very Low,Organellar with Cytosolic pool,"10,630","17,599","9,630",54.3%,42.3,61.4,35.7,69.2,5%,14%,81%,546,337
Gpc1,Q9QZF2,Q9QZF2;Q3U379,Glypican-1;Secreted glypican-1,,Endosome,-0.30,Very Low,,"16,877","18,231","12,628",61.4%,64.6,65.9,48.9,20.0,,,,210,61.359
Atp6v1c1,Q9Z1G3,Q9Z1G3,V-type proton ATPase subunit C 1,Endosome,Endosome,-0.31,Very Low,Organellar with Cytosolic pool,"56,859","72,943","54,319",77.7%,222.4,254.4,208.9,48.2,3%,25%,72%,194,43.887
Diaph1,O08808,O08808;E9PXV7;E9PV41;Q6NS79;D3Z074,Protein diaphanous homolog 1,,Endosome,-0.31,Very Low,Organellar with Cytosolic pool,"11,481","14,565","10,737",55.5%,45.7,50.8,39.8,30.9,2%,12%,86%,226,139.34
