ProteinGroupAc,Replicate1 TMT Set1-126,Replicate1 TMT Set2-126,Replicate2 TMT Set1-126,Replicate2 TMT Set2-126,Replicate1 TMT Set1-127C,Replicate1 TMT Set2-127C,Replicate2 TMT Set1-127C,Replicate2 TMT Set2-127C,Replicate1 TMT Set1-127N,Replicate1 TMT Set2-127N,Replicate2 TMT Set1-127N,Replicate2 TMT Set2-127N,Replicate1 TMT Set1-128C,Replicate1 TMT Set2-128C,Replicate2 TMT Set1-128C,Replicate2 TMT Set2-128C,Replicate1 TMT Set1-128N,Replicate1 TMT Set2-128N,Replicate2 TMT Set1-128N,Replicate2 TMT Set2-128N,Replicate1 TMT Set1-129C,Replicate1 TMT Set2-129C,Replicate2 TMT Set1-129C,Replicate2 TMT Set2-129C,Replicate1 TMT Set1-129N,Replicate1 TMT Set2-129N,Replicate2 TMT Set1-129N,Replicate2 TMT Set2-129N,Replicate1 TMT Set1-130C,Replicate1 TMT Set2-130C,Replicate2 TMT Set1-130C,Replicate2 TMT Set2-130C,Replicate1 TMT Set1-130N,Replicate1 TMT Set2-130N,Replicate2 TMT Set1-130N,Replicate2 TMT Set2-130N,Replicate1 TMT Set1-131,Replicate1 TMT Set2-131,Replicate2 TMT Set1-131,Replicate2 TMT Set2-131,Accession,Description,Coverage,Quantified Proteins,Quantified Unique Peptides,Quantified Peptides,Quantified PSMs,Score - Replicate1 TMT Set1,Coverage -  Replicate1 TMT Set1,Quantified Peptides -  Replicate1 TMT Set1,Quantified PSMs -  Replicate1 TMT Set1,Score - Replicate1 TMT Set2,Coverage -  Replicate1 TMT Set2,Quantified Peptides -  Replicate1 TMT Set2,Quantified PSMs -  Replicate1 TMT Set2,Score - Replicate2 TMT Set1,Coverage -  Replicate2 TMT Set1,Quantified Peptides -  Replicate2 TMT Set1,Quantified PSMs -  Replicate2 TMT Set1,Score - Replicate2 TMT Set2,Coverage -  Replicate2 TMT Set2,Quantified Peptides -  Replicate2 TMT Set2,Quantified PSMs -  Replicate2 TMT Set2,markers,SVM Classification,SVM Score,assignment
O95983,0.01,0.01,0.01,0.01,0.014,0.01,0.028,0.011,0.01,0.018,0.015,0.01,0.048,0.032,0.027,0.014,0.055,0.047,0.029,0.019,0.104,0.098,0.026,0.029,0.096,0.159,0.046,0.073,0.126,0.09,0.063,0.046,0.477,0.457,0.413,0.439,0.063,0.09,0.274,0.336,O95983-2,Isoform 2 of Methyl-CpG-binding domain protein 3 OS=Homo sapiens GN=MBD3 - [MBD3_HUMAN],42.86,2,10,12,24,111.71,16.99,5,6,66.16,16.22,4,4,121.39,26.25,6,6,107.84,35.91,8,8,unknown,NUCLEUS,0.869581731,NUCLEUS
P31323,0.01,0.13,0.028,0.139,0.184,0.122,0.143,0.111,0.012,0.119,0.091,0.103,0.175,0.121,0.122,0.141,0.159,0.099,0.154,0.086,0.119,0.069,0.115,0.089,0.098,0.067,0.088,0.054,0.05,0.05,0.037,0.075,0.044,0.045,0.053,0.043,0.135,0.175,0.146,0.149,P31323,cAMP-dependent protein kinase type II-beta regulatory subunit OS=Homo sapiens GN=PRKAR2B PE=1 SV=3 - [KAP3_HUMAN],42.82,1,11,13,28,188.52,16.03,5,6,203.77,20.81,7,8,180.19,23.21,6,7,227.79,23.44,7,7,unknown,PM,0.669034314,unknown
P07093,0.01,0.162,0.015,0.063,0.37,0.193,0.186,0.23,0.016,0.211,0.184,0.183,0.179,0.104,0.215,0.136,0.121,0.087,0.129,0.084,0.089,0.078,0.082,0.067,0.065,0.075,0.056,0.037,0.042,0.041,0.046,0.079,0.033,0.02,0.036,0.039,0.01,0.01,0.017,0.017,P07093-2,Isoform 2 of Glia-derived nexin OS=Homo sapiens GN=SERPINE2 - [GDN_HUMAN],42.82,3,19,19,42,166.48,18.14,9,9,234.15,16.88,9,10,138.78,16.37,7,7,306.12,30.73,12,16,unknown,PM,0.479083466,unknown
Q9UBT2,0.01,0.023,0.011,0.016,0.028,0.018,0.019,0.016,0.01,0.017,0.015,0.015,0.02,0.018,0.018,0.016,0.018,0.018,0.022,0.022,0.022,0.019,0.031,0.024,0.022,0.028,0.026,0.032,0.01,0.012,0.022,0.014,0.022,0.027,0.024,0.017,0.848,0.792,0.77,0.828,Q9UBT2,SUMO-activating enzyme subunit 2 OS=Homo sapiens GN=UBA2 PE=1 SV=2 - [SAE2_HUMAN],42.81,2,18,18,45,95.8,16.88,8,8,76.12,18.13,11,11,220.13,34.06,13,14,250.38,27.5,11,12,unknown,CYTOSOL,0.818688532,unknown
Q9HBH1,0.01,0.039,0.01,0.055,0.065,0.051,0.075,0.085,0.02,0.071,0.038,0.082,0.128,0.097,0.095,0.105,0.135,0.175,0.135,0.227,0.298,0.24,0.289,0.159,0.184,0.17,0.167,0.083,0.073,0.122,0.086,0.108,0.054,0.027,0.049,0.038,0.018,0.01,0.01,0.02,Q9HBH1,"Peptide deformylase, mitochondrial OS=Homo sapiens GN=PDF PE=1 SV=1 - [DEFM_HUMAN]",42.8,1,8,8,12,75.08,15.64,4,4,46.06,9.05,2,2,71.72,16.46,3,3,95.95,20.16,3,3,unknown,MITOCHONDRIA,0.961384122,MITOCHONDRIA
P49721,0.01,0.047,0.01,0.016,0.057,0.047,0.044,0.038,0.01,0.041,0.018,0.023,0.045,0.038,0.029,0.031,0.037,0.033,0.03,0.027,0.036,0.026,0.037,0.032,0.028,0.036,0.04,0.153,0.109,0.061,0.159,0.079,0.019,0.015,0.014,0.018,0.629,0.65,0.628,0.583,P49721,Proteasome subunit beta type-2 OS=Homo sapiens GN=PSMB2 PE=1 SV=1 - [PSB2_HUMAN],42.79,1,8,8,28,181.84,16.42,3,5,157.75,24.88,5,7,243.62,25.37,6,10,111.05,39.8,5,6,PROTEASOME,PROTEASOME,1,PROTEASOME
O43252,0.01,0.032,0.01,0.019,0.055,0.028,0.038,0.029,0.01,0.029,0.023,0.023,0.083,0.036,0.036,0.037,0.076,0.038,0.041,0.033,0.073,0.057,0.056,0.043,0.081,0.063,0.054,0.074,0.106,0.073,0.147,0.088,0.038,0.024,0.014,0.016,0.369,0.63,0.588,0.623,O43252,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 OS=Homo sapiens GN=PAPSS1 PE=1 SV=2 - [PAPS1_HUMAN],42.79,1,20,20,42,200.86,15.71,8,8,238.26,14.74,8,9,121.6,21.31,11,11,271.91,32.21,14,14,unknown,CYTOSOL,0.564786318,unknown
P48729,0.01,0.04,0.01,0.027,0.098,0.049,0.043,0.045,0.016,0.073,0.035,0.048,0.14,0.096,0.059,0.075,0.145,0.114,0.074,0.072,0.105,0.105,0.093,0.077,0.083,0.107,0.08,0.213,0.195,0.252,0.429,0.257,0.102,0.087,0.103,0.097,0.033,0.074,0.081,0.087,P48729,Casein kinase I isoform alpha OS=Homo sapiens GN=CSNK1A1 PE=1 SV=2 - [KC1A_HUMAN],42.73,3,2,13,34,181.98,27.3,8,8,277.91,19.88,6,10,162.06,22.55,6,6,210.15,30.27,8,10,unknown,NUCLEUS,0.383432426,unknown
P83916,0.01,0.01,0.01,0.01,0.025,0.01,0.015,0.014,0.01,0.014,0.011,0.015,0.055,0.026,0.013,0.023,0.053,0.029,0.02,0.044,0.077,0.082,0.053,0.041,0.108,0.12,0.092,0.133,0.062,0.047,0.06,0.047,0.255,0.239,0.268,0.248,0.399,0.423,0.465,0.398,P83916,Chromobox protein homolog 1 OS=Homo sapiens GN=CBX1 PE=1 SV=1 - [CBX1_HUMAN],42.7,1,8,9,29,33.71,17.3,4,4,87.37,12.97,3,3,252.3,34.59,6,13,210.7,30.81,5,9,unknown,NUCLEUS,0.7151356,NUCLEUS
Q9P0V3,0.012,0.108,0.024,0.144,0.18,0.115,0.157,0.148,0.01,0.143,0.117,0.132,0.237,0.174,0.16,0.2,0.204,0.15,0.188,0.095,0.127,0.084,0.113,0.098,0.099,0.074,0.086,0.047,0.065,0.074,0.064,0.09,0.035,0.03,0.028,0.022,0.01,0.013,0.017,0.013,Q9P0V3,SH3 domain-binding protein 4 OS=Homo sapiens GN=SH3BP4 PE=1 SV=1 - [SH3B4_HUMAN],42.68,2,35,35,88,355.44,23.78,21,23,280.93,18.8,17,19,415.15,23.26,19,22,471.76,31.26,22,24,unknown,PM,0.842081643,unknown
Q99961,0.018,0.076,0.01,0.046,0.11,0.053,0.072,0.059,0.017,0.05,0.042,0.047,0.069,0.048,0.044,0.049,0.056,0.047,0.044,0.041,0.05,0.055,0.054,0.054,0.059,0.071,0.051,0.041,0.038,0.036,0.037,0.037,0.016,0.01,0.021,0.021,0.532,0.514,0.635,0.521,Q99961,Endophilin-A2 OS=Homo sapiens GN=SH3GL1 PE=1 SV=1 - [SH3G1_HUMAN],42.66,4,15,15,33,117.62,13.32,4,4,67.49,10.05,4,5,186.76,32.07,9,10,220.84,36.41,11,14,unknown,CYTOSOL,0.887621943,unknown
Q6P4E1,0.01,0.07,0.014,0.076,0.123,0.118,0.127,0.168,0.018,0.148,0.174,0.246,0.181,0.14,0.23,0.194,0.15,0.142,0.149,0.108,0.206,0.165,0.102,0.078,0.155,0.107,0.07,0.023,0.062,0.069,0.042,0.056,0.038,0.024,0.03,0.02,0.017,0.01,0.012,0.01,Q6P4E1-5,Isoform 5 of Protein CASC4 OS=Homo sapiens GN=CASC4 - [CASC4_HUMAN],42.65,5,19,19,42,171.17,27.47,9,9,68.51,14.94,5,6,142.73,28.92,10,11,192.73,32.77,14,16,unknown,GOLGI,0.872790882,GOLGI
O95295,0.01,0.17,0.01,0.118,0.292,0.213,0.189,0.26,0.014,0.165,0.15,0.182,0.2,0.093,0.136,0.103,0.093,0.056,0.067,0.039,0.09,0.062,0.057,0.044,0.09,0.093,0.057,0.046,0.129,0.062,0.065,0.061,0.028,0.02,0.026,0.02,0.061,0.063,0.161,0.101,O95295,SNARE-associated protein Snapin OS=Homo sapiens GN=SNAPIN PE=1 SV=1 - [SNAPN_HUMAN],42.65,1,6,6,14,56.91,17.65,2,2,108.89,15.44,2,2,116.85,13.97,2,4,151.14,32.35,5,6,unknown,PM,0.526551888,unknown
P54803,0.011,0.251,0.01,0.063,0.335,0.261,0.186,0.229,0.012,0.185,0.161,0.258,0.233,0.113,0.256,0.195,0.141,0.056,0.166,0.071,0.094,0.038,0.08,0.063,0.076,0.032,0.053,0.024,0.035,0.026,0.038,0.066,0.01,0.01,0.012,0.01,0.035,0.01,0.01,0.01,P54803,Galactocerebrosidase OS=Homo sapiens GN=GALC PE=1 SV=2 - [GALC_HUMAN],42.63,4,20,20,59,179.43,9.93,7,7,292.44,16.64,10,14,474.31,25.99,12,15,658.93,40,16,23,unknown,LYSOSOME,0.877958962,LYSOSOME
O00291,0.01,0.069,0.013,0.05,0.091,0.077,0.084,0.08,0.015,0.101,0.062,0.092,0.147,0.15,0.13,0.173,0.177,0.15,0.183,0.12,0.131,0.096,0.128,0.116,0.109,0.108,0.102,0.1,0.265,0.193,0.187,0.163,0.046,0.036,0.077,0.07,0.01,0.01,0.01,0.011,O00291,Huntingtin-interacting protein 1 OS=Homo sapiens GN=HIP1 PE=1 SV=5 - [HIP1_HUMAN],42.62,3,40,42,87,333.57,20.44,23,27,261.02,14.37,16,24,524.1,21.31,16,19,437.81,22.85,16,17,unknown,ER,0.438340079,unknown
Q9H7C9,0.011,0.06,0.01,0.027,0.074,0.053,0.048,0.05,0.013,0.059,0.028,0.028,0.077,0.053,0.04,0.037,0.071,0.058,0.044,0.032,0.069,0.052,0.045,0.034,0.06,0.061,0.045,0.036,0.054,0.054,0.056,0.032,0.029,0.052,0.015,0.013,0.534,0.502,0.675,0.706,Q9H7C9,Mth938 domain-containing protein OS=Homo sapiens GN=AAMDC PE=1 SV=1 - [AAMDC_HUMAN],42.62,3,5,5,13,28.21,23.77,3,3,50.17,29.51,3,3,70.21,29.51,3,3,91.75,35.25,4,4,unknown,CYTOSOL,0.924492962,unknown
Q03701,0.01,0.011,0.01,0.01,0.014,0.015,0.018,0.017,0.01,0.028,0.013,0.026,0.034,0.041,0.029,0.037,0.035,0.049,0.035,0.04,0.059,0.063,0.05,0.044,0.06,0.117,0.039,0.368,0.436,0.284,0.653,0.283,0.315,0.336,0.128,0.142,0.026,0.041,0.023,0.034,Q03701,CCAAT/enhancer-binding protein zeta OS=Homo sapiens GN=CEBPZ PE=1 SV=3 - [CEBPZ_HUMAN],42.6,1,39,39,86,169.86,16.7,16,17,137.92,9.01,8,8,638.28,27.42,26,30,574.15,31.4,26,31,unknown,NUCLEUS,0.913822032,NUCLEUS
Q9BRX5,0.01,0.022,0.01,0.027,0.023,0.022,0.019,0.04,0.01,0.018,0.016,0.046,0.024,0.017,0.017,0.064,0.019,0.02,0.026,0.068,0.026,0.02,0.043,0.07,0.03,0.028,0.043,0.06,0.017,0.011,0.022,0.059,0.03,0.03,0.041,0.039,0.821,0.828,0.772,0.446,Q9BRX5,DNA replication complex GINS protein PSF3 OS=Homo sapiens GN=GINS3 PE=1 SV=1 - [PSF3_HUMAN],42.59,3,7,7,11,97.74,16.2,2,2,138.99,25,4,4,79.22,8.8,1,1,84.63,26.39,3,4,unknown,CYTOSOL,0.7128964,unknown
P18858,0.01,0.021,0.01,0.018,0.036,0.019,0.022,0.023,0.01,0.027,0.015,0.026,0.063,0.042,0.022,0.027,0.064,0.057,0.029,0.03,0.125,0.133,0.051,0.043,0.168,0.172,0.058,0.057,0.111,0.072,0.058,0.038,0.042,0.035,0.04,0.033,0.365,0.413,0.69,0.709,P18858,DNA ligase 1 OS=Homo sapiens GN=LIG1 PE=1 SV=1 - [DNLI1_HUMAN],42.55,3,31,31,50,163.05,15.56,11,11,195.98,19.37,15,15,229.53,21.22,13,13,206.06,14.91,11,11,unknown,CYTOSOL,0.404022972,unknown
Q9NQP4,0.01,0.065,0.014,0.042,0.082,0.056,0.06,0.053,0.01,0.038,0.029,0.035,0.043,0.034,0.036,0.035,0.034,0.025,0.03,0.019,0.02,0.016,0.031,0.027,0.021,0.018,0.022,0.013,0.01,0.01,0.01,0.01,0.023,0.013,0.016,0.014,0.741,0.722,0.758,0.743,Q9NQP4,Prefoldin subunit 4 OS=Homo sapiens GN=PFDN4 PE=1 SV=1 - [PFD4_HUMAN],42.54,1,6,6,17,81.53,29.1,3,3,199.88,29.1,3,4,150.14,37.31,4,5,104.03,41.79,5,5,unknown,CYTOSOL,0.944053352,CYTOSOL
O00541,0.01,0.017,0.01,0.01,0.024,0.019,0.013,0.014,0.01,0.03,0.01,0.015,0.04,0.036,0.017,0.026,0.041,0.047,0.024,0.03,0.064,0.061,0.039,0.038,0.039,0.087,0.024,0.322,0.455,0.316,0.674,0.336,0.241,0.222,0.101,0.126,0.082,0.155,0.067,0.079,O00541,Pescadillo homolog OS=Homo sapiens GN=PES1 PE=1 SV=1 - [PESC_HUMAN],42.52,2,26,26,72,265.93,26.02,14,15,376.01,22.28,12,16,504.27,27.72,16,22,422.5,30.61,16,19,unknown,NUCLEUS,0.878803118,NUCLEUS
O76070,0.01,0.054,0.034,0.041,0.051,0.039,0.045,0.046,0.01,0.037,0.031,0.03,0.051,0.034,0.038,0.041,0.046,0.03,0.03,0.036,0.046,0.025,0.035,0.02,0.045,0.02,0.03,0.016,0.028,0.017,0.028,0.017,0.03,0.014,0.028,0.01,0.653,0.709,0.702,0.74,O76070,Gamma-synuclein OS=Homo sapiens GN=SNCG PE=1 SV=2 - [SYUG_HUMAN],42.52,1,4,4,7,67.08,22.83,2,2,63.71,19.69,2,2,45.99,12.6,1,1,75.63,19.69,2,2,unknown,CYTOSOL,0.963140008,CYTOSOL
P61086,0.038,0.037,0.01,0.01,0.094,0.033,0.034,0.031,0.056,0.028,0.015,0.025,0.103,0.026,0.027,0.023,0.075,0.021,0.023,0.02,0.096,0.014,0.028,0.023,0.079,0.018,0.025,0.022,0.202,0.01,0.017,0.01,0.044,0.017,0.011,0.01,0.213,0.795,0.83,0.826,P61086,Ubiquitin-conjugating enzyme E2 K OS=Homo sapiens GN=UBE2K PE=1 SV=3 - [UBE2K_HUMAN],42.5,3,8,8,24,180.58,27.5,4,4,281.97,36.5,7,9,142.75,34,5,5,154.15,28.5,6,6,unknown,CYTOSOL,0.617534491,unknown
O75340,0.01,0.082,0.01,0.02,0.067,0.085,0.07,0.079,0.01,0.074,0.022,0.071,0.081,0.055,0.06,0.06,0.068,0.042,0.057,0.035,0.055,0.027,0.058,0.038,0.051,0.025,0.04,0.025,0.022,0.015,0.027,0.027,0.034,0.023,0.024,0.025,0.593,0.58,0.613,0.597,O75340,Programmed cell death protein 6 OS=Homo sapiens GN=PDCD6 PE=1 SV=1 - [PDCD6_HUMAN],42.41,3,7,7,15,53.35,16.23,4,4,39.26,11.52,2,3,112.28,25.13,3,4,144.04,26.7,3,4,unknown,CYTOSOL,0.907683021,unknown
P46939,0.01,0.07,0.013,0.071,0.116,0.088,0.102,0.106,0.01,0.131,0.064,0.118,0.202,0.174,0.149,0.191,0.199,0.166,0.201,0.119,0.151,0.102,0.136,0.113,0.117,0.082,0.101,0.057,0.085,0.089,0.086,0.103,0.071,0.053,0.082,0.072,0.02,0.022,0.025,0.026,P46939,Utrophin OS=Homo sapiens GN=UTRN PE=1 SV=2 - [UTRO_HUMAN],42.41,14,134,136,282,790.47,15.96,49,49,1079.66,16.52,55,59,1429.05,26.25,76,79,1528.25,30.56,88,95,unknown,ER,0.825131298,unknown
Q9BXJ9,0.01,0.041,0.01,0.015,0.052,0.037,0.024,0.039,0.01,0.036,0.011,0.029,0.071,0.045,0.026,0.035,0.073,0.054,0.031,0.036,0.076,0.068,0.053,0.06,0.073,0.084,0.053,0.1,0.479,0.461,0.386,0.232,0.017,0.012,0.023,0.031,0.131,0.16,0.373,0.408,Q9BXJ9,"N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens GN=NAA15 PE=1 SV=1 - [NAA15_HUMAN]",42.38,6,28,31,59,212.37,17.67,15,15,282.01,20.9,17,18,246.3,17.44,12,12,255.04,20.9,13,14,unknown,NUCLEUS,0.504135512,unknown
Q9NW64,0.01,0.023,0.01,0.01,0.044,0.024,0.012,0.013,0.016,0.036,0.01,0.015,0.054,0.05,0.018,0.024,0.052,0.067,0.026,0.037,0.077,0.083,0.044,0.042,0.063,0.123,0.04,0.396,0.378,0.299,0.601,0.235,0.198,0.216,0.161,0.151,0.045,0.077,0.07,0.067,Q9NW64,Pre-mRNA-splicing factor RBM22 OS=Homo sapiens GN=RBM22 PE=1 SV=1 - [RBM22_HUMAN],42.38,2,20,20,57,186.27,25.95,10,16,183.18,18.57,8,8,282.1,33.1,15,18,294.94,32.86,14,15,unknown,NUCLEUS,0.899273107,NUCLEUS
Q9UG63,0.01,0.028,0.01,0.023,0.047,0.033,0.039,0.043,0.014,0.059,0.025,0.052,0.099,0.086,0.06,0.089,0.117,0.121,0.085,0.092,0.131,0.101,0.101,0.1,0.088,0.091,0.081,0.147,0.406,0.41,0.525,0.369,0.049,0.031,0.037,0.04,0.036,0.035,0.031,0.039,Q9UG63,ATP-binding cassette sub-family F member 2 OS=Homo sapiens GN=ABCF2 PE=1 SV=2 - [ABCF2_HUMAN],42.38,2,27,27,58,295.7,21.03,14,15,190.19,15.25,9,9,207.05,22.79,15,16,208.32,27.93,16,18,unknown,RIBOSOME 60S,0.451172349,unknown
A4D1E9,0.01,0.024,0.01,0.019,0.042,0.032,0.081,0.06,0.01,0.066,0.041,0.079,0.11,0.096,0.091,0.1,0.14,0.179,0.143,0.303,0.37,0.273,0.345,0.188,0.232,0.181,0.168,0.083,0.075,0.132,0.09,0.116,0.02,0.015,0.017,0.017,0.01,0.01,0.01,0.01,A4D1E9,GTP-binding protein 10 OS=Homo sapiens GN=GTPBP10 PE=1 SV=1 - [GTPBA_HUMAN],42.38,3,14,14,29,194.31,18.6,7,8,126.54,11.89,4,5,129.8,19.12,6,6,209.06,30.75,9,10,unknown,MITOCHONDRIA,0.961026109,MITOCHONDRIA
Q69YN2,0.01,0.027,0.01,0.017,0.042,0.032,0.015,0.021,0.01,0.044,0.011,0.021,0.074,0.058,0.022,0.035,0.083,0.072,0.029,0.035,0.124,0.112,0.047,0.048,0.14,0.156,0.043,0.135,0.259,0.195,0.313,0.188,0.088,0.069,0.135,0.137,0.15,0.234,0.385,0.374,Q69YN2,CWF19-like protein 1 OS=Homo sapiens GN=CWF19L1 PE=1 SV=2 - [C19L1_HUMAN],42.38,3,17,17,32,155.64,18.77,9,10,77.78,10.41,5,5,98.88,19.7,8,8,124.41,22.49,8,9,unknown,NUCLEUS,0.823346383,NUCLEUS
Q9BY89,0.01,0.044,0.026,0.061,0.062,0.052,0.071,0.064,0.014,0.079,0.049,0.065,0.144,0.124,0.075,0.117,0.163,0.152,0.128,0.097,0.166,0.141,0.136,0.122,0.149,0.169,0.135,0.126,0.162,0.14,0.197,0.154,0.082,0.059,0.119,0.093,0.019,0.019,0.053,0.062,Q9BY89,Uncharacterized protein KIAA1671 OS=Homo sapiens GN=KIAA1671 PE=1 SV=2 - [K1671_HUMAN],42.36,2,54,54,96,415.5,18.6,25,26,437.76,18.88,22,22,438.25,17.44,24,25,385.88,17.83,22,23,unknown,NUCLEUS,0.26986197,unknown
Q9BZJ0,0.01,0.021,0.01,0.01,0.03,0.022,0.014,0.019,0.01,0.034,0.011,0.024,0.058,0.049,0.021,0.03,0.065,0.058,0.024,0.038,0.095,0.108,0.037,0.043,0.11,0.175,0.049,0.319,0.369,0.231,0.54,0.215,0.239,0.227,0.196,0.151,0.03,0.06,0.083,0.095,Q9BZJ0-2,Isoform 2 of Crooked neck-like protein 1 OS=Homo sapiens GN=CRNKL1 - [CRNL1_HUMAN],42.36,3,29,29,64,168.14,18.63,12,14,136.78,16.45,11,11,237.33,22.42,13,15,446.49,35.95,23,24,unknown,NUCLEUS,0.907558349,NUCLEUS
Q9Y613,0.012,0.032,0.019,0.063,0.055,0.041,0.071,0.062,0.017,0.071,0.049,0.063,0.125,0.111,0.08,0.106,0.148,0.149,0.128,0.139,0.206,0.223,0.207,0.179,0.228,0.208,0.18,0.112,0.113,0.141,0.11,0.118,0.019,0.015,0.027,0.026,0.01,0.012,0.106,0.123,Q9Y613,FH1/FH2 domain-containing protein 1 OS=Homo sapiens GN=FHOD1 PE=1 SV=3 - [FHOD1_HUMAN],42.35,1,35,35,69,331.58,18.38,18,18,350.55,16.75,13,14,287.82,20.19,15,16,351.69,27.49,20,21,unknown,MITOCHONDRIA,0.623052897,unknown
Q92890,0.01,0.037,0.01,0.024,0.065,0.033,0.055,0.039,0.01,0.041,0.034,0.039,0.087,0.062,0.055,0.051,0.094,0.069,0.055,0.063,0.146,0.143,0.066,0.071,0.146,0.215,0.096,0.144,0.254,0.187,0.178,0.165,0.066,0.043,0.107,0.082,0.142,0.162,0.302,0.272,Q92890,Ubiquitin fusion degradation protein 1 homolog OS=Homo sapiens GN=UFD1L PE=1 SV=3 - [UFD1_HUMAN],42.35,3,12,12,27,123.14,31.27,7,7,157.75,13.36,4,4,178.77,34.53,9,9,146.56,25.73,7,7,unknown,NUCLEUS,0.742353269,NUCLEUS
Q86YP4,0.01,0.011,0.01,0.022,0.013,0.01,0.031,0.033,0.01,0.018,0.011,0.035,0.054,0.035,0.02,0.051,0.052,0.048,0.022,0.053,0.106,0.131,0.046,0.058,0.098,0.19,0.074,0.104,0.122,0.087,0.108,0.08,0.493,0.414,0.384,0.292,0.038,0.054,0.194,0.227,Q86YP4,Transcriptional repressor p66-alpha OS=Homo sapiens GN=GATAD2A PE=1 SV=1 - [P66A_HUMAN],42.34,3,18,19,35,316.26,24.64,10,10,138.75,16.27,7,8,216.49,17.69,8,8,159.02,18.01,9,9,unknown,NUCLEUS,0.869711201,NUCLEUS
Q13586,0.01,0.054,0.01,0.049,0.055,0.084,0.074,0.093,0.016,0.126,0.075,0.125,0.191,0.17,0.169,0.195,0.227,0.19,0.211,0.169,0.228,0.147,0.215,0.147,0.156,0.121,0.138,0.076,0.062,0.087,0.058,0.099,0.033,0.024,0.02,0.02,0.01,0.01,0.01,0.01,Q13586,Stromal interaction molecule 1 OS=Homo sapiens GN=STIM1 PE=1 SV=3 - [STIM1_HUMAN],42.34,2,25,25,57,498.13,24.67,15,18,202.41,14.31,8,9,222.54,22.77,11,14,408.26,29.34,14,16,unknown,ER,0.968574756,ER
P29992,0.01,0.174,0.034,0.152,0.26,0.163,0.215,0.189,0.01,0.179,0.129,0.131,0.243,0.177,0.188,0.19,0.204,0.127,0.176,0.094,0.117,0.073,0.109,0.093,0.09,0.05,0.076,0.025,0.03,0.044,0.032,0.066,0.015,0.01,0.015,0.01,0.01,0.01,0.01,0.01,P29992,Guanine nucleotide-binding protein subunit alpha-11 OS=Homo sapiens GN=GNA11 PE=1 SV=2 - [GNA11_HUMAN],42.34,3,13,14,38,167.1,26.18,9,9,107.61,9.19,3,4,146.19,32.59,9,11,221.23,39.83,12,14,unknown,PM,0.939575732,PM
Q96CW5,0.01,0.031,0.01,0.018,0.05,0.037,0.025,0.032,0.01,0.048,0.015,0.032,0.075,0.066,0.035,0.055,0.079,0.077,0.05,0.059,0.1,0.084,0.077,0.075,0.088,0.102,0.066,0.239,0.507,0.438,0.649,0.411,0.064,0.057,0.042,0.05,0.03,0.046,0.016,0.026,Q96CW5,Gamma-tubulin complex component 3 OS=Homo sapiens GN=TUBGCP3 PE=1 SV=2 - [GCP3_HUMAN],42.34,3,31,31,74,215.6,18.52,14,14,274.45,14.77,13,14,303.34,29.55,17,24,380.16,29.22,19,22,unknown,RIBOSOME 40S,0.351061452,unknown
O43159,0.01,0.042,0.01,0.027,0.015,0.044,0.017,0.023,0.01,0.054,0.013,0.018,0.04,0.053,0.024,0.034,0.047,0.069,0.036,0.042,0.069,0.075,0.052,0.051,0.06,0.129,0.043,0.361,0.456,0.256,0.639,0.26,0.286,0.268,0.126,0.119,0.013,0.039,0.025,0.034,O43159,Ribosomal RNA-processing protein 8 OS=Homo sapiens GN=RRP8 PE=1 SV=2 - [RRP8_HUMAN],42.32,1,17,17,35,108.89,11.62,4,4,78.72,11.62,5,5,368.82,40.57,16,17,201.55,26.54,9,9,unknown,NUCLEUS,0.917304782,NUCLEUS
Q969Z0,0.01,0.024,0.01,0.034,0.037,0.037,0.095,0.068,0.01,0.068,0.059,0.084,0.118,0.098,0.095,0.102,0.145,0.176,0.139,0.313,0.348,0.264,0.315,0.192,0.235,0.186,0.173,0.076,0.056,0.12,0.073,0.101,0.01,0.01,0.012,0.01,0.01,0.01,0.01,0.01,Q969Z0,Protein TBRG4 OS=Homo sapiens GN=TBRG4 PE=1 SV=1 - [TBRG4_HUMAN],42.31,2,25,25,57,164.7,14.74,12,13,104.53,13,7,7,272.07,28.53,15,16,388.75,36.93,20,21,unknown,MITOCHONDRIA,0.971087558,MITOCHONDRIA
Q05193,0.01,0.043,0.01,0.03,0.074,0.047,0.048,0.053,0.01,0.054,0.025,0.044,0.093,0.067,0.045,0.057,0.095,0.082,0.06,0.059,0.15,0.146,0.098,0.094,0.184,0.222,0.151,0.202,0.298,0.222,0.294,0.169,0.062,0.047,0.088,0.082,0.034,0.052,0.176,0.186,Q05193-3,Isoform 3 of Dynamin-1 OS=Homo sapiens GN=DNM1 - [DYN1_HUMAN],42.3,7,23,35,83,323.68,20.33,16,19,320.85,18.8,16,18,446.13,31.26,24,24,437.27,25.03,19,22,unknown,NUCLEUS,0.606046393,NUCLEUS
